LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15TSY32MR	Brilho 45°	101.00	101.00	101.00	0.00	1	J58209	3/13/2020	101.00	101.00	101.00		
1	15TSY32MR	Brilho 45°	104.00	104.00	104.00	0.00	2	J58245	3/16/2020	104.00				
1	17TSY32MR	Brilho 45°	103.00	103.00	103.00	0.00	1	J58098	3/2/2020	103.00	103.00	103.00		
1	17TSY32MR	Brilho 45°	103.00	104.00	103.33	0.58	2	J58218	3/14/2020	104.00	103.00	103.00		
1	17TSY32MR	Brilho 45°	102.00	103.00	102.67	0.58	3	J58253	3/17/2020	103.00	102.00	103.00		
1	17TSYHTS32MR	Brilho 45°	100.00	101.00	100.33	0.58	1	J58120	3/4/2020	100.00	100.00	101.00		
1	17TSYHTS32MR	Brilho 45°	100.00	100.00	100.00	0.00	2	J58188	3/12/2020	100.00	100.00	100.00		
1	20TFC30MR	Brilho 45°	102.00	103.00	102.67	0.58	1	J58170	3/10/2020	103.00	103.00	102.00		
1	20TMA12MR	Brilho 45°	54.00	56.00	55.00	1.00	1	J58143	3/7/2020	55.00	54.00	56.00		
1	20TMAPLN02MR	Brilho 45°	54.00	54.00	54.00	0.00	1	J58135	3/6/2020	54.00	54.00	54.00		
1	23EP 436/30MR	Brilho 45°	102.00	102.00	102.00	0.00	1	J58187	3/11/2020	102.00				
1	25TFC30MR	Brilho 45°	102.00	102.00	102.00	0.00	1	J58086	3/1/2020	102.00	102.00	102.00		
1	25TFCL8230MR	Brilho 45°	101.00	101.00	101.00	0.00	1	J58183	3/11/2020	101.00	101.00	101.00		
1	30TFC30MR	Brilho 45°	100.00	101.00	100.67	0.58	1	J58092	3/1/2020	101.00	101.00	100.00		
2	17TBPGFT32MR-L2	Brilho 45°	80.00	80.00	80.00	0.00	1	C61816	3/13/2020	80.00	80.00	80.00		
2	20TSY32MR-L2	Brilho 45°	102.00	103.00	102.33	0.58	1	C61700	3/2/2020	102.00	103.00	102.00		
2	20TSY32MR-L2	Brilho 45°	100.00	102.00	101.33	1.15	2	C61832	3/15/2020	102.00	102.00	100.00		
2	20TSYHTS32MR-L2	Brilho 45°	100.00	101.00	100.33	0.58	1	C61724	3/5/2020	100.00	100.00	101.00		
2	20TSYHTS32MR-L2	Brilho 45°	96.00	97.00	96.67	0.58	2	C61843	3/15/2020	96.00	97.00	97.00		
2	20TSYUHS32MR-L2	Brilho 45°	100.00	101.00	100.33	0.58	1	C61735	3/6/2020	101.00	100.00	100.00		
2	22EP 280/32MR-EV	Brilho 45°	89.00	91.00	90.00	1.00	1	C61768	3/9/2020	91.00	90.00	89.00		
2	22TBPHGS32MR-L2	Brilho 45°	94.00	94.00	94.00	0.00	1	C61758	3/8/2020	94.00	94.00	94.00		
2	22TBPRLB32MR-L2	Brilho 45°	98.00	98.00	98.00	0.00	1	C61782	3/10/2020	98.00				
2	25TSY32MR-L2	Brilho 45°	99.00	101.00	100.00	1.00	1	C61685	3/1/2020	101.00	99.00	100.00		
2	25TSY32MR-L2	Brilho 45°	103.00	103.00	103.00	0.00	2	C61863	3/17/2020	103.00				
2	26TBB12MRL2EV	Brilho 45°	103.00	104.00	103.67	0.58	1	C61741	3/7/2020	104.00	104.00	103.00		
2	26TBPHGS32MR-L2	Brilho 45°	91.00	92.00	91.67	0.58	1	C61743	3/7/2020	91.00	92.00	92.00		
2	40EP 430/23MR-L2	Brilho 45°	61.00	68.00	63.33	4.04	1	C61806	3/12/2020	68.00	61.00	61.00		
2	40EP 430/23MR-L2	Brilho 45°	64.00	64.00	64.00	0.00	2	C61810	3/13/2020	64.00	64.00	64.00	64.00	64.00
2	40TBPPSL23MR-L2	Brilho 45°	95.00	96.00	95.33	0.58	1	C61800	3/12/2020	95.00	95.00	96.00		
3	17EP 429/01MR-L3	Brilho 45°	105.00	106.00	105.33	0.58	1	I50520	3/2/2020	105.00	106.00	105.00		
3	17TSB21MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	1	I50501	3/1/2020	100.00	100.00	100.00		
3	17TSB21MR-L3	Brilho 45°	99.00	99.00	99.00	0.00	2	I50606	3/8/2020	99.00	99.00	99.00	99.00	99.00
3	17TSB21MR-L3	Brilho 45°	99.00	99.00	99.00	0.00	3	I50680	3/13/2020	99.00				
3	17TSB21MR-L3	Brilho 45°	103.00	103.00	103.00	0.00	4	I50720	3/16/2020	103.00				
3	17TSB21MR-L3	Brilho 45°	102.00	103.00	102.67	0.58	5	I50730	3/17/2020	103.00	103.00	102.00		
3	17TSBHTS21MR-L3	Brilho 45°	96.00	96.00	96.00	0.00	1	I50508	3/1/2020	96.00	96.00	96.00	96.00	96.00
3	17TSBHTS21MR-L3	Brilho 45°	98.00	103.00	100.33	2.52	2	I50599	3/8/2020	98.00	103.00	100.00		
3	17TSBHTS21MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	3	I50687	3/14/2020	100.00	100.00	100.00		
3	20TFA02MR-L3	Brilho 45°	96.00	98.00	97.00	1.00	1	I50620	3/9/2020	97.00	96.00	98.00		
3	20TFCHSK30MR-L3	Brilho 45°	101.00	101.00	101.00	0.00	1	I50567	3/5/2020	101.00				
3	20TFCHSK30MR-L3	Brilho 45°	99.00	101.00	99.67	1.15	2	I50734	3/17/2020	101.00	99.00	99.00		
3	20TPY02MR-L3	Brilho 45°	103.00	103.00	103.00	0.00	1	I50649	3/12/2020	103.00	103.00	103.00		
3	20TSB21MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	1	I50521	3/2/2020	100.00	100.00	100.00		
3	20TSB21MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	2	I50612	3/8/2020	100.00	100.00	100.00		
3	20TSB21MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	3	I50668	3/13/2020	100.00				
3	20TSB21MR-L3	Brilho 45°	100.00	101.00	100.33	0.58	4	I50728	3/16/2020	101.00	100.00	100.00		
3	20TSBHTS21MR-L3	Brilho 45°	96.00	98.00	97.33	1.15	1	i50515	3/2/2020	98.00	98.00	96.00		
3	20TSBHTS21MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	2	I50590	3/7/2020	100.00	100.00	100.00		
3	20TSBHTS21MR-L3	Brilho 45°	99.00	99.00	99.00	0.00	3	I50697	3/15/2020	99.00	99.00	99.00		
3	20TSY32MR-L3	Brilho 45°	99.00	100.00	99.33	0.58	1	I50546	3/4/2020	100.00	99.00	99.00		
3	20TSY32MR-L3	Brilho 45°	102.00	103.00	102.33	0.58	2	I50577	3/6/2020	103.00	102.00	102.00		
3	24TFA02MR-L3	Brilho 45°	107.00	108.00	107.33	0.58	1	I50631	3/10/2020	108.00	107.00	107.00		
3	25TSBL8221MR-L3	Brilho 45°	97.00	98.00	97.67	0.58	1	i50533	3/3/2020	97.00	98.00	98.00		
3	30TPY02MR-L3	Brilho 45°	103.00	103.00	103.00	0.00	1	I50645	3/11/2020	103.00	103.00	103.00		
3	30TSB21MR-L3	Brilho 45°	98.00	99.00	98.33	0.58	1	I50525	3/2/2020	99.00	98.00	98.00		
3	30TSB21MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	2	I50705	3/15/2020	100.00	100.00	100.00		
3	45TSYL8232MR-EV	Brilho 45°	99.00	100.00	99.33	0.58	1	I50549	3/4/2020	99.00	100.00	99.00		
3	45TSYL8232MR-EV	Brilho 45°	98.00	98.00	98.00	0.00	2	I50716	3/16/2020	98.00				
3	50TPYPSL03MR-L3	Brilho 45°	100.00	100.00	100.00	0.00	1	I50636	3/10/2020	100.00				
