LINHA,FILME,EXAME,MIN,MAX,MEDIA,DP,ITEM,MR,DATA,X1,X2,X3,X4,X5
1,15TSY32MR,Tratamento Superficial CORONA,40.00,42.00,41.20,1.10,1,J58209,3/13/2020,42.00,40.00,40.00,42.00,42.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,39.60,0.89,2,J58210,3/13/2020,38.00,40.00,40.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,38.00,38.00,0.00,3,J58211,3/14/2020,38.00,,,,
1,15TSY32MR,Tratamento Superficial CORONA,38.00,38.00,38.00,0.00,4,J58212,3/14/2020,38.00,38.00,38.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,36.00,38.00,37.20,1.10,5,J58213,3/14/2020,36.00,38.00,38.00,38.00,36.00
1,15TSY32MR,Tratamento Superficial CORONA,36.00,38.00,37.60,0.89,6,J58214,3/14/2020,36.00,38.00,38.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,36.00,38.00,37.60,0.89,7,J58215,3/14/2020,36.00,38.00,38.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,36.00,38.00,37.60,0.89,8,J58216,3/14/2020,36.00,38.00,38.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,36.00,38.00,37.20,1.10,9,J58217,3/14/2020,36.00,38.00,38.00,38.00,36.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,42.00,40.40,1.67,10,J58245,3/16/2020,40.00,42.00,42.00,40.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,39.60,0.89,11,J58246,3/16/2020,40.00,40.00,40.00,40.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,40.00,40.00,40.00,0.00,12,J58247,3/16/2020,40.00,40.00,40.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,40.00,40.00,40.00,0.00,13,J58248,3/16/2020,40.00,40.00,40.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,40.00,40.00,40.00,0.00,14,J58249,3/17/2020,40.00,40.00,40.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,40.00,40.00,40.00,0.00,15,J58250,3/17/2020,40.00,40.00,40.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,38.00,38.00,0.00,16,J58251,3/17/2020,38.00,38.00,38.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,38.00,38.00,0.00,17,J58252,3/17/2020,38.00,38.00,38.00,38.00,38.00
