LINHA,FILME,EXAME,MIN,MAX,MEDIA,DP,ITEM,MR,DATA,X1,X2,X3,X4,X5
1,15TSY32MR,Tratamento Superficial CORONA,42.00,42.00,42.00,0.00,1,J57636,1/18/2020,42.00,42.00,42.00,42.00,42.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,39.20,1.10,2,J57637,1/18/2020,40.00,38.00,38.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,38.00,38.00,0.00,3,J57638,1/18/2020,38.00,38.00,38.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,40.00,40.00,40.00,0.00,4,J57639,1/18/2020,40.00,40.00,40.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,40.00,40.00,40.00,0.00,5,J57640,1/18/2020,40.00,40.00,40.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,42.00,44.00,42.80,1.10,6,J57641,1/18/2020,42.00,42.00,42.00,44.00,44.00
1,15TSY32MR,Tratamento Superficial CORONA,40.00,40.00,40.00,0.00,7,J57642,1/18/2020,40.00,40.00,40.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,40.00,40.00,40.00,0.00,8,J57643,1/18/2020,40.00,40.00,40.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,39.60,0.89,9,J57644,1/18/2020,40.00,40.00,38.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,39.60,0.89,10,J57645,1/19/2020,40.00,40.00,40.00,38.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,39.20,1.10,11,J57646,1/19/2020,40.00,40.00,40.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,38.40,0.89,12,J57647,1/19/2020,38.00,40.00,38.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,39.20,1.10,13,J57648,1/19/2020,38.00,40.00,40.00,40.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,38.80,1.10,14,J57649,1/19/2020,38.00,38.00,40.00,38.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,38.00,38.00,0.00,15,J57650,1/19/2020,38.00,38.00,38.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,40.00,42.00,40.40,0.89,16,J57652,1/19/2020,42.00,40.00,40.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,38.80,1.10,17,J57653,1/19/2020,38.00,40.00,40.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,39.20,1.10,18,J57654,1/19/2020,38.00,40.00,40.00,40.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,39.20,1.10,19,J57655,1/19/2020,38.00,40.00,40.00,40.00,38.00
1,15TSY32MR,Espessura,15.00,15.80,15.22,0.33,1,J57636,1/18/2020,15.00,15.00,15.10,15.80,15.20
1,15TSY32MR,Espessura,15.00,15.50,15.18,0.22,2,J57637,1/18/2020,15.10,15.00,15.30,15.00,15.50
1,15TSY32MR,Espessura,15.00,15.70,15.26,0.32,3,J57638,1/18/2020,15.00,15.10,15.00,15.50,15.70
1,15TSY32MR,Espessura,15.30,15.90,15.64,0.23,4,J57639,1/18/2020,15.80,15.60,15.90,15.60,15.30
1,15TSY32MR,Espessura,15.00,15.40,15.20,0.16,5,J57640,1/18/2020,15.40,15.10,15.30,15.00,15.20
1,15TSY32MR,Espessura,15.00,15.80,15.36,0.30,6,J57641,1/18/2020,15.20,15.40,15.00,15.40,15.80
1,15TSY32MR,Espessura,15.10,15.50,15.34,0.18,7,J57642,1/18/2020,15.20,15.50,15.10,15.40,15.50
1,15TSY32MR,Espessura,15.10,15.70,15.38,0.23,8,J57643,1/18/2020,15.50,15.70,15.30,15.30,15.10
1,15TSY32MR,Espessura,15.10,15.50,15.32,0.15,9,J57644,1/18/2020,15.50,15.10,15.30,15.30,15.40
1,15TSY32MR,Espessura,15.20,15.20,15.20,0.00,10,J57645,1/19/2020,15.20,,,,
1,15TSY32MR,Espessura,15.30,15.30,15.30,0.00,11,J57646,1/19/2020,15.30,,,,
1,15TSY32MR,Espessura,15.00,15.90,15.36,0.34,12,J57647,1/19/2020,15.30,15.20,15.90,15.00,15.40
1,15TSY32MR,Espessura,15.00,15.90,15.44,0.45,13,J57648,1/19/2020,15.90,15.40,15.00,15.90,15.00
1,15TSY32MR,Espessura,15.00,15.30,15.18,0.13,14,J57649,1/19/2020,15.20,15.10,15.30,15.30,15.00
1,15TSY32MR,Espessura,15.20,15.80,15.42,0.30,15,J57650,1/19/2020,15.20,15.20,15.20,15.80,15.70
1,15TSY32MR,Espessura,15.40,15.40,15.40,0.00,16,J57652,1/19/2020,15.40,,,,
1,15TSY32MR,Espessura,15.30,15.30,15.30,0.00,17,J57653,1/19/2020,15.30,,,,
1,15TSY32MR,Espessura,15.30,15.30,15.30,0.00,18,J57654,1/19/2020,15.30,,,,
1,15TSY32MR,Espessura,15.20,15.20,15.20,0.00,19,J57655,1/19/2020,15.20,,,,
1,15TSY32MR,Gramatura,13.50,13.50,13.50,0.00,1,J57636,1/18/2020,13.50,,,,
1,15TSY32MR,Gramatura,13.50,13.50,13.50,0.00,2,J57639,1/18/2020,13.50,,,,
