LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	1	J57636	1/18/2020	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	2	J57637	1/18/2020	40.00	38.00	38.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	38.00	38.00	0.00	3	J57638	1/18/2020	38.00	38.00	38.00	38.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	4	J57639	1/18/2020	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	5	J57640	1/18/2020	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	6	J57641	1/18/2020	42.00	42.00	42.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	7	J57642	1/18/2020	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	8	J57643	1/18/2020	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	9	J57644	1/18/2020	40.00	40.00	38.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	10	J57645	1/19/2020	40.00	40.00	40.00	38.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	11	J57646	1/19/2020	40.00	40.00	40.00	38.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.40	0.89	12	J57647	1/19/2020	38.00	40.00	38.00	38.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	13	J57648	1/19/2020	38.00	40.00	40.00	40.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	14	J57649	1/19/2020	38.00	38.00	40.00	38.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	38.00	38.00	0.00	15	J57650	1/19/2020	38.00	38.00	38.00	38.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	16	J57652	1/19/2020	42.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	17	J57653	1/19/2020	38.00	40.00	40.00	38.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	18	J57654	1/19/2020	38.00	40.00	40.00	40.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	19	J57655	1/19/2020	38.00	40.00	40.00	40.00	38.00
