LINHA,FILME,EXAME,MIN,MAX,MEDIA,DP,ITEM,MR,DATA,X1,X2,X3,X4,X5
1,15TSY32MR,Tratamento Superficial CORONA,40.00,42.00,41.20,1.10,1,J57958,2/16/2020,40.00,42.00,42.00,42.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,42.00,42.00,42.00,0.00,2,J57959,2/16/2020,42.00,42.00,42.00,42.00,42.00
1,15TSY32MR,Tratamento Superficial CORONA,42.00,42.00,42.00,0.00,3,J57960,2/17/2020,42.00,42.00,42.00,42.00,42.00
1,15TSY32MR,Tratamento Superficial CORONA,40.00,42.00,41.20,1.10,4,J57961,2/17/2020,40.00,42.00,42.00,42.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,39.20,1.10,5,J57962,2/17/2020,38.00,40.00,40.00,40.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,38.80,1.10,6,J57963,2/17/2020,38.00,40.00,40.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,38.40,0.89,7,J57964,2/17/2020,38.00,38.00,38.00,40.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,38.00,38.00,0.00,8,J57965,2/17/2020,38.00,38.00,38.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,38.40,0.89,9,J57966,2/17/2020,38.00,38.00,38.00,40.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,38.00,38.00,0.00,10,J57967,2/17/2020,38.00,38.00,38.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,38.80,1.10,11,J57968,2/17/2020,38.00,40.00,38.00,40.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,40.00,40.00,40.00,0.00,12,J57969,2/17/2020,40.00,40.00,40.00,40.00,40.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,38.80,1.10,13,J57970,2/18/2020,38.00,40.00,40.00,38.00,38.00
1,15TSY32MR,Tratamento Superficial CORONA,38.00,40.00,38.80,1.10,14,J57971,2/18/2020,38.00,40.00,40.00,38.00,38.00
1,15TSY32MR,Espessura,15.00,15.33,15.19,0.14,1,J57958,2/16/2020,15.00,15.33,15.20,15.30,15.10
1,15TSY32MR,Espessura,14.90,15.30,15.06,0.15,2,J57959,2/16/2020,15.00,15.30,15.10,15.00,14.90
1,15TSY32MR,Espessura,15.00,15.80,15.34,0.32,3,J57960,2/17/2020,15.80,15.00,15.50,15.30,15.10
1,15TSY32MR,Espessura,15.10,15.60,15.38,0.22,4,J57961,2/17/2020,15.30,15.10,15.60,15.30,15.60
1,15TSY32MR,Espessura,15.30,15.80,15.60,0.19,5,J57962,2/17/2020,15.70,15.80,15.60,15.30,15.60
1,15TSY32MR,Espessura,15.10,15.70,15.42,0.27,6,J57963,2/17/2020,15.30,15.10,15.70,15.70,15.30
1,15TSY32MR,Espessura,15.20,15.80,15.54,0.24,7,J57964,2/17/2020,15.40,15.80,15.20,15.60,15.70
1,15TSY32MR,Espessura,15.10,15.80,15.44,0.27,8,J57965,2/17/2020,15.30,15.10,15.60,15.40,15.80
1,15TSY32MR,Espessura,15.00,15.80,15.40,0.37,9,J57966,2/17/2020,15.80,15.20,15.00,15.80,15.20
1,15TSY32MR,Espessura,15.30,15.30,15.30,0.00,10,J57967,2/17/2020,15.30,,,,
1,15TSY32MR,Espessura,15.10,15.80,15.48,0.29,11,J57968,2/17/2020,15.70,15.50,15.10,15.80,15.30
