FILME	EXAME	ALVO	MIN	MAX
15TSB21MR-L3	ALONGAMENTO DM	170		185
15TSY32MR	ALONGAMENTO DM	170		185
17TBPGFT32MR-L2	ALONGAMENTO DM	140		160
17TPY02MR-L3	ALONGAMENTO DM	160		190
17TSB21MR-L3	ALONGAMENTO DM	170		185
17TSBHTS21MR-L3	ALONGAMENTO DM	190		210
17TSY32MR	ALONGAMENTO DM	170		185
17TSY32MR-L3	ALONGAMENTO DM	170		185
17TSY32XMR	ALONGAMENTO DM	170		260
17TSY32XMR-L2	ALONGAMENTO DM	170		260
17TSY32XMR-L3	ALONGAMENTO DM	170		260
17TSYCMS32MR	ALONGAMENTO DM	170		185
17TSYHTS32MR	ALONGAMENTO DM	185		205
18TSY32MR	ALONGAMENTO DM	170		185
18TSYCSY32MR	ALONGAMENTO DM	140		175
19TBPCSL32MR-L2	ALONGAMENTO DM	120		160
19TBPGFT32MR-L2	ALONGAMENTO DM	140		160
19TPYRL02MR-L3	ALONGAMENTO DM	170		200
20TBM10	ALONGAMENTO DM	120		160
20TBPHGS32MR-L2	ALONGAMENTO DM	120		160
20TFA02MR-L3	ALONGAMENTO DM	140		170
20TFC30MR	ALONGAMENTO DM	160		195
20TFCHSK30MR	ALONGAMENTO DM	150		190
20TFCL8230MR	ALONGAMENTO DM	160		195
20TMA12MR	ALONGAMENTO DM	170		195
20TMA32MR-L2	ALONGAMENTO DM	170		195
20TMAPLN02MR	ALONGAMENTO DM	170		195
20TPY02MR-L3	ALONGAMENTO DM	160		190
20TPY03MR-L3	ALONGAMENTO DM	160		190
20TSB21MR-L3	ALONGAMENTO DM	170		185
20TSBHTS21MR-L3	ALONGAMENTO DM	190		210
20TSBL8212MR-L2	ALONGAMENTO DM	180		195
20TSY32MR	ALONGAMENTO DM	170		185
20TSY32MR-L2	ALONGAMENTO DM	170		185
20TSY32MR-L3	ALONGAMENTO DM	170		185
20TSY32XMR	ALONGAMENTO DM	170		260
20TSY32XMR-L2	ALONGAMENTO DM	170		260
20TSY32XMR-L3	ALONGAMENTO DM	170		260
20TSYHTS32MR	ALONGAMENTO DM	185		205
20TSYHTS32MR-L2	ALONGAMENTO DM	185		205
20TSYHTS32MR-L3	ALONGAMENTO DM	185		205
20TSYL8232MR	ALONGAMENTO DM	170		200
20TSYUHS32MR	ALONGAMENTO DM	170		185
