LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	1	J58209	3/13/2020	42.00	40.00	40.00	42.00	42.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	2	J58210	3/13/2020	38.00	40.00	40.00	40.00	40.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	38.00	38.00	38.00	0.00	3	J58211	3/14/2020	38.00																																																																																																																																																																																																																																																					
1	15TSY32MR	Tratamento Superficial CORONA	38.00	38.00	38.00	0.00	4	J58212	3/14/2020	38.00	38.00	38.00	38.00	38.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	36.00	38.00	37.20	1.10	5	J58213	3/14/2020	36.00	38.00	38.00	38.00	36.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	36.00	38.00	37.60	0.89	6	J58214	3/14/2020	36.00	38.00	38.00	38.00	38.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	36.00	38.00	37.60	0.89	7	J58215	3/14/2020	36.00	38.00	38.00	38.00	38.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	36.00	38.00	37.60	0.89	8	J58216	3/14/2020	36.00	38.00	38.00	38.00	38.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	36.00	38.00	37.20	1.10	9	J58217	3/14/2020	36.00	38.00	38.00	38.00	36.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	38.00	42.00	40.40	1.67	10	J58245	3/16/2020	40.00	42.00	42.00	40.00	38.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	11	J58246	3/16/2020	40.00	40.00	40.00	40.00	38.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	12	J58247	3/16/2020	40.00	40.00	40.00	40.00	40.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	13	J58248	3/16/2020	40.00	40.00	40.00	40.00	40.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	14	J58249	3/17/2020	40.00	40.00	40.00	40.00	40.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	15	J58250	3/17/2020	40.00	40.00	40.00	40.00	40.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	38.00	38.00	38.00	0.00	16	J58251	3/17/2020	38.00	38.00	38.00	38.00	38.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Tratamento Superficial CORONA	38.00	38.00	38.00	0.00	17	J58252	3/17/2020	38.00	38.00	38.00	38.00	38.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	15.30	15.70	15.46	0.18	1	J58209	3/13/2020	15.40	15.70	15.30	15.30	15.60																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	15.20	15.70	15.52	0.22	2	J58210	3/13/2020	15.70	15.60	15.40	15.20	15.70																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	15.10	15.60	15.34	0.19	3	J58211	3/14/2020	15.60	15.40	15.20	15.10	15.40																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	15.50	15.50	15.50	0.00	4	J58212	3/14/2020	15.50	15.50	15.50	15.50	15.50																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	5	J58213	3/14/2020	15.30																																																																																																																																																																																																																																																					
1	15TSY32MR	Espessura	15.60	15.80	15.74	0.09	6	J58214	3/14/2020	15.80	15.80	15.80	15.60	15.70																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	7	J58215	3/14/2020	15.40																																																																																																																																																																																																																																																					
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	8	J58216	3/14/2020	15.30																																																																																																																																																																																																																																																					
1	15TSY32MR	Espessura	15.60	15.60	15.60	0.00	9	J58217	3/14/2020	15.60																																																																																																																																																																																																																																																					
1	15TSY32MR	Espessura	15.60	15.50	15.36	0.15	10	J58245	3/16/2020	15.50	15.20	15.40	15.20	15.50																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	15.00	15.70	15.46	0.30	11	J58246	3/16/2020	15.70	15.60	15.70	15.30	15.00																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	14.90	15.60	15.18	0.28	12	J58247	3/16/2020	15.60	15.10	15.30	15.00	14.90																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	15.20	15.60	15.36	0.17	13	J58248	3/16/2020	15.60	15.40	15.40	15.20	15.20																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	14.90	15.70	15.40	0.32	14	J58249	3/17/2020	15.70	15.30	15.60	15.50	14.90																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	15.10	15.60	15.34	0.21	15	J58250	3/17/2020	15.60	15.10	15.50	15.30	15.20																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	15.00	15.80	15.44	0.34	16	J58251	3/17/2020	15.80	15.70	15.00	15.20	15.50																																																																																																																																																																																																																																																	
1	15TSY32MR	Espessura	15.70	15.90	15.80	0.07	17	J58252	3/17/2020	15.80	15.80	15.70	15.80	15.90																																																																																																																																																																																																																																																	
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	1	J58209	3/13/2020	13.90																																																																																																																																																																																																																																																					
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	2	J58213	3/14/2020	13.80																																																																																																																																																																																																																																																					
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	3	J58215	3/14/2020	13.90																																																																																																																																																																																																																																																					
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	4	J58216	3/14/2020	13.90																																																																																																																																																																																																																																																					
1	15TSY32MR	Gramatura	14.10	14.10	14.10	0.00	5	J58217	3/14/2020	14.10																																																																																																																																																																																																																																																					
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	6	J58245	3/16/2020	13.60																																																																																																																																																																																																																																																					
1	15TSY32MR	Rendimento	71.90	71.90	71.90	0.00	1	J58209	3/13/2020	71.90																																																																																																																																																																																																																																																					
1	15TSY32MR	Rendimento	73.50	73.50	73.50	0.00	2	J58245	3/16/2020	73.50																																																																																																																																																																																																																																																					
1	15TSY32MR	Densidade	0.71	0.71	0.71	0.00	1	J58209	3/13/2020	0.71																																																																																																																																																																																																																																																					
1	15TSY32MR	Densidade	0.90	0.90	0.90	0.00	2	J58245	3/16/2020	0.90																																																																																																																																																																																																																																																					
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.19	0.27	0.23	0.03	1	J58209	3/13/2020	0.22	0.27	0.25	0.19	0.21																																																																																																																																																																																																																																																	
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.24	0.26	0.25	0.01	2	J58211	3/14/2020	0.24	0.26	0.24	0.24	0.25																																																																																																																																																																																																																																																	
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.19	0.24	0.21	0.02	3	J58245	3/16/2020	0.20	0.21	0.23	0.19	0.24																																																																																																																																																																																																																																																	
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.21	0.23	0.22	0.01	4	J58248	3/16/2020	0.22	0.22	0.23	0.21	0.23																																																																																																																																																																																																																																																	
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.22	0.26	0.23	0.02	5	J58250	3/17/2020	0.22	0.23	0.26	0.22	0.22																																																																																																																																																																																																																																																	
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.22	0.25	0.23	0.01	1	J58209	3/13/2020	0.22	0.24	0.23	0.25	0.23																																																																																																																																																																																																																																																	
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.29	0.32	0.31	0.01	2	J58211	3/14/2020	0.29	0.31	0.32	0.30	0.32																																																																																																																																																																																																																																																	
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.22	0.30	0.25	0.03	3	J58245	3/16/2020	0.22	0.22	0.25	0.30	0.26																																																																																																																																																																																																																																																	
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.23	0.26	0.24	0.01	4	J58248	3/16/2020	0.25	0.26	0.23	0.23	0.24																																																																																																																																																																																																																																																	
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.21	0.28	0.24	0.03	5	J58250	3/17/2020	0.26	0.28	0.21	0.23	0.24																																																																																																																																																																																																																																																	
