LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	1	J53779	1/11/2019	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	2	J53780	1/11/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	3	J53781	1/11/2019	40.00	40.00	40.00	42.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	4	J53782	1/11/2019	38.00	38.00	40.00	38.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	5	J53783	1/11/2019	38.00	38.00	40.00	40.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	6	J53784	1/11/2019	38.00	38.00	38.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	7	J53785	1/11/2019	38.00	38.00	40.00	40.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	8	J53786	1/11/2019	40.00	40.00	40.00	42.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	9	J53787	1/11/2019	40.00	42.00	40.00	42.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	10	J53788	1/12/2019	40.00	40.00	40.00	42.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	42.00	39.60	1.67	11	J53789	1/12/2019	38.00	42.00	40.00	40.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	12	J53790	1/12/2019	38.00	40.00	38.00	40.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	13	J53963	1/29/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	14	J53964	1/30/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	15	J53965	1/30/2019	38.00	38.00	40.00	40.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	16	J53966	1/30/2019	38.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	17	J53967	1/30/2019	38.00	40.00	38.00	40.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	18	J53968	1/30/2019	38.00	40.00	38.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	19	J53969	1/30/2019	40.00	40.00	40.00	38.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	38.00	38.00	0.00	20	J53970	1/30/2019	38.00	38.00	38.00	38.00	38.00
1	15TSY32MR	Espessura	15.50	15.50	15.50	0.00	1	J53779	1/11/2019	15.50				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	2	J53780	1/11/2019	15.00				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	3	J53781	1/11/2019	15.10				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	4	J53782	1/11/2019	15.30				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	5	J53783	1/11/2019	15.10				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	6	J53784	1/11/2019	15.10				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	7	J53785	1/11/2019	15.30				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	8	J53786	1/11/2019	15.20				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	9	J53787	1/11/2019	15.20				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	10	J53788	1/12/2019	15.20				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	11	J53789	1/12/2019	15.10				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	12	J53790	1/12/2019	15.20				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	13	J53963	1/29/2019	15.30				
1	15TSY32MR	Espessura	15.50	15.50	15.50	0.00	14	J53964	1/30/2019	15.50				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	15	J53965	1/30/2019	14.90				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	16	J53966	1/30/2019	15.20				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	17	J53967	1/30/2019	14.90				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	18	J53968	1/30/2019	14.90				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	19	J53969	1/30/2019	14.90				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	20	J53970	1/30/2019	15.00				
1	15TSY32MR	Gramatura	14.00	14.00	14.00	0.00	1	J53779	1/11/2019	14.00				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	2	J53780	1/11/2019	13.60				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	3	J53781	1/11/2019	13.70				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	4	J53782	1/11/2019	13.80				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	5	J53783	1/11/2019	13.70				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	6	J53784	1/11/2019	13.70				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	7	J53785	1/11/2019	13.80				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	8	J53786	1/11/2019	13.80				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	9	J53787	1/11/2019	13.80				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	10	J53788	1/12/2019	13.80				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	11	J53789	1/12/2019	13.60				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	12	J53790	1/12/2019	13.70				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	13	J53963	1/29/2019	13.90				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	14	J53964	1/30/2019	13.60				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	15	J53965	1/30/2019	13.50				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	16	J53966	1/30/2019	13.80				
1	15TSY32MR	Gramatura	13.40	13.40	13.40	0.00	17	J53967	1/30/2019	13.40				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	18	J53968	1/30/2019	13.50				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	19	J53969	1/30/2019	13.50				
1	15TSY32MR	Gramatura	13.30	13.30	13.30	0.00	20	J53970	1/30/2019	13.30				
1	15TSY32MR	Rendimento	71.40	71.40	71.40	0.00	1	J53779	1/11/2019	71.40				
1	15TSY32MR	Rendimento	71.90	71.90	71.90	0.00	2	J53963	1/29/2019	71.90				
1	15TSY32MR	Densidade	0.90	0.90	0.90	0.00	1	J53779	1/11/2019	0.90				
1	15TSY32MR	Densidade	0.91	0.91	0.91	0.00	2	J53963	1/29/2019	0.91				
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.22	0.27	0.24	0.03	1	J53779	1/11/2019	0.27	0.22	0.22		
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.23	0.35	0.28	0.06	2	J53783	1/11/2019	0.35	0.23	0.25		
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.22	0.25	0.24	0.02	3	J53786	1/11/2019	0.24	0.22	0.25		
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.23	0.26	0.24	0.02	4	J53788	1/12/2019	0.26	0.23	0.24		
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.21	0.24	0.23	0.02	5	J53963	1/29/2019	0.23	0.21	0.24		
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.24	0.26	0.25	0.01	6	J53965	1/30/2019	0.25	0.24	0.26		
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.29	0.34	0.31	0.03	1	J53779	1/11/2019	0.34	0.29	0.30		
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.29	0.33	0.32	0.02	2	J53783	1/11/2019	0.33	0.29	0.33		
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.28	0.30	0.29	0.01	3	J53786	1/11/2019	0.30	0.28	0.30		
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.29	0.30	0.29	0.01	4	J53788	1/12/2019	0.30	0.29	0.29		
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.25	0.28	0.27	0.02	5	J53963	1/29/2019	0.28	0.25	0.28		
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.28	0.30	0.29	0.01	6	J53965	1/30/2019	0.30	0.28	0.30		
1	15TSY32MR	COF NT/NT - Est. Imediato	0.34	0.37	0.35	0.02	1	J53779	1/11/2019	0.37	0.34	0.34		
1	15TSY32MR	COF NT/NT - Est. Imediato	0.30	0.45	0.36	0.08	2	J53783	1/11/2019	0.45	0.30	0.33		
1	15TSY32MR	COF NT/NT - Est. Imediato	0.29	0.52	0.38	0.13	3	J53786	1/11/2019	0.52	0.29	0.32		
1	15TSY32MR	COF NT/NT - Est. Imediato	0.28	0.45	0.36	0.09	4	J53788	1/12/2019	0.45	0.28	0.35		
1	15TSY32MR	COF NT/NT - Est. Imediato	0.26	0.34	0.31	0.04	5	J53963	1/29/2019	0.32	0.26	0.34		
1	15TSY32MR	COF NT/NT - Est. Imediato	0.35	0.35	0.35	0.00	6	J53965	1/30/2019	0.35	0.35	0.35		
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.41	0.42	0.41	0.01	1	J53779	1/11/2019	0.42	0.41	0.41		
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.39	0.43	0.41	0.02	2	J53783	1/11/2019	0.43	0.39	0.41		
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.34	0.38	0.36	0.02	3	J53786	1/11/2019	0.35	0.34	0.38		
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.36	0.39	0.38	0.02	4	J53788	1/12/2019	0.39	0.39	0.36		
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.28	0.33	0.31	0.03	5	J53963	1/29/2019	0.32	0.28	0.33		
