LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5										
1	15TSY32MR	Tratamento Superficial CORONA	38.00	42.00	40.80	1.79	1	J54207	2/20/2019	38.00	42.00	40.00	42.00	42.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	2	J54208	2/20/2019	42.00	42.00	40.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	3	J54209	2/20/2019	42.00	42.00	40.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	4	J54210	2/20/2019	40.00	40.00	40.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	5	J54211	2/20/2019	40.00	40.00	40.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	38.00	38.00	38.00	0.00	6	J54213	2/21/2019	38.00	38.00	38.00	38.00	38.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	7	J54214	2/21/2019	42.00	42.00	40.00	42.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	8	J54215	2/21/2019	40.00	42.00	42.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	38.00	38.00	38.00	0.00	9	J54216	2/21/2019	38.00	38.00	38.00	38.00	38.00										
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	10	J54218	2/21/2019	38.00	40.00	38.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	11	J54219	2/21/2019	40.00	40.00	40.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	12	J54220	2/21/2019	40.00	40.00	40.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	13	J54221	2/21/2019	40.00	40.00	40.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	14	J54222	2/21/2019	40.00	40.00	40.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	15	J54223	2/21/2019	40.00	40.00	40.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	16	J54224	2/21/2019	40.00	40.00	40.00	40.00	40.00										
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	17	J54225	2/22/2019	42.00	42.00	42.00	42.00	42.00										
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	1	J54207	2/20/2019	14.90														
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	2	J54208	2/20/2019	15.00														
1	15TSY32MR	Espessura	14.80	14.80	14.80	0.00	3	J54209	2/20/2019	14.80														
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	4	J54210	2/20/2019	15.40														
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	5	J54211	2/20/2019	15.20														
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	6	J54213	2/21/2019	15.10														
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	7	J54214	2/21/2019	15.10														
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	8	J54215	2/21/2019	15.10														
1	15TSY32MR	Espessura	14.80	14.80	14.80	0.00	9	J54216	2/21/2019	14.80														
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	10	J54218	2/21/2019	15.30														
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	11	J54219	2/21/2019	15.00														
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	12	J54220	2/21/2019	15.20														
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	13	J54221	2/21/2019	15.20														
1	15TSY32MR	Espessura	14.70	14.70	14.70	0.00	14	J54222	2/21/2019	14.70														
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	15	J54223	2/21/2019	14.90														
1	15TSY32MR	Espessura	14.80	14.80	14.80	0.00	16	J54224	2/21/2019	14.80														
1	15TSY32MR	Espessura	14.60	14.60	14.60	0.00	17	J54225	2/22/2019	14.60														
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	1	J54207	2/20/2019	13.50														
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	2	J54208	2/20/2019	13.50														
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	3	J54210	2/20/2019	13.90														
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	4	J54211	2/20/2019	13.80														
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	5	J54213	2/21/2019	13.70														
