LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15EP 207/32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	1	J54366	3/10/2019	40.00	40.00	40.00	40.00	40.00
1	15EP 207/32MR	Espessura	14.80	14.80	14.80	0.00	1	J54366	3/10/2019	14.80				
1	15EP 207/32MR	Gramatura	13.40	13.40	13.40	0.00	1	J54366	3/10/2019	13.40				
1	15EP 207/32MR	Rendimento	74.60	74.60	74.60	0.00	1	J54366	3/10/2019	74.60				
1	15EP 207/32MR	Densidade	0.91	0.91	0.91	0.00	1	J54366	3/10/2019	0.91				
1	15EP 207/32MR	COF NT/NT - DIN. Imediato	0.17	0.20	0.18	0.02	1	J54366	3/10/2019	0.20	0.17	0.18	0.17	0.20
1	15EP 207/32MR	COF COR/COR - Din. - Imediato	0.38	0.49	0.44	0.05	1	J54366	3/10/2019	0.49	0.46	0.38	0.39	0.46
1	15EP 207/32MR	COF NT/NT - Est. Imediato	0.20	0.26	0.22	0.03	1	J54366	3/10/2019	0.26	0.21	0.21	0.20	0.24
1	15EP 207/32MR	COF COR/COR - Est. - Imediato	0.46	0.55	0.50	0.04	1	J54366	3/10/2019	0.55	0.52	0.47	0.46	0.51
1	15EP 207/32MR	COF NT/NT - Din.	0.14	0.15	0.15	0.01	1	J54366	3/10/2019	0.15	0.15	0.14		
1	15EP 207/32MR	COF COR/COR - Din.	0.24	0.25	0.24	0.01	1	J54366	3/10/2019	0.25	0.24	0.24		
1	15EP 207/32MR	COF  NT/NT - Est.	0.18	0.56	0.31	0.22	1	J54366	3/10/2019	0.56	0.18	0.19		
1	15EP 207/32MR	COF COR/COR - Est.	0.30	0.31	0.31	0.01	1	J54366	3/10/2019	0.30	0.31	0.31		
1	15EP 207/32MR	Força de Tração DM	142.00	161.00	149.00	10.44	1	J54366	3/10/2019	161.00	142.00	144.00		
1	15EP 207/32MR	Força de Tração DT	233.00	285.00	254.33	27.23	1	J54366	3/10/2019	233.00	285.00	245.00		
1	15EP 207/32MR	Alongamento DM	170.00	214.00	187.33	23.44	1	J54366	3/10/2019	214.00	178.00	170.00		
1	15EP 207/32MR	Alongamento DT	41.00	73.00	52.00	18.19	1	J54366	3/10/2019	41.00	73.00	42.00		
1	15EP 207/32MR	Módulo Elástico DM	1092.00	1701.00	1485.00	340.91	1	J54366	3/10/2019	1662.00	1092.00	1701.00		
1	15EP 207/32MR	Módulo Elástico DT	2057.00	2953.00	2633.33	500.11	1	J54366	3/10/2019	2953.00	2890.00	2057.00		
1	15EP 207/32MR	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	J54366	3/10/2019	5.00	5.00	5.00	5.00	5.00
1	15EP 207/32MR	Estabilidade Dimensional DT	3.00	3.00	3.00	0.00	1	J54366	3/10/2019	3.00	3.00	3.00	3.00	3.00
1	15EP 207/32MR	Brilho 45°	100.00	101.00	100.67	0.58	1	J54366	3/10/2019	100.00	101.00	101.00		
1	15EP 207/32MR	Haze/difusão	1.70	1.80	1.76	0.05	1	J54366	3/10/2019	1.80	1.70	1.80	1.70	1.80
1	15EP 207/32MR	Força de Selagem NT/NT	360.00	416.00	373.20	24.08	1	J54366	3/10/2019	360.00	361.00	367.00	416.00	362.00
1	15EP 207/32MR	Força de selagem COR/COR	335.00	485.00	389.40	62.07	1	J54366	3/10/2019	485.00	335.00	373.00	414.00	340.00
1	15EP 207/32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	1	J54366	3/10/2019	40.00				
1	15EP 207/32MR	Tensão superficial CORONA LM	40.00	40.00	40.00	0.00	1	J54366	3/10/2019	40.00				
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.40	0.89	1	J54349	3/6/2019	38.00	38.00	40.00	38.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	2	J54350	3/6/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	3	J54351	3/7/2019	38.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	4	J54352	3/7/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	5	J54353	3/7/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	6	J54355	3/9/2019	40.00	40.00	38.00	38.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	7	J54356	3/9/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	8	J54357	3/9/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	9	J54358	3/9/2019	42.00	42.00	42.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	10	J54359	3/9/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	11	J54360	3/9/2019	40.00	42.00	40.00	42.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	12	J54361	3/9/2019	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	13	J54362	3/10/2019	40.00	42.00	42.00	42.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	14	J54363	3/10/2019	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	15	J54364	3/10/2019	40.00	40.00	38.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.40	0.89	16	J54365	3/10/2019	38.00	40.00	38.00	38.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	17	J54367	3/10/2019	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	18	J54368	3/10/2019	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	19	J54369	3/10/2019	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	1	J54349	3/6/2019	15.10				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	2	J54350	3/6/2019	15.00				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	3	J54351	3/7/2019	15.10				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	4	J54352	3/7/2019	15.10				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	5	J54353	3/7/2019	15.20				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	6	J54355	3/9/2019	15.20				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	7	J54356	3/9/2019	15.30				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	8	J54357	3/9/2019	14.90				
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	9	J54358	3/9/2019	15.40				
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	10	J54359	3/9/2019	15.40				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	11	J54360	3/9/2019	15.00				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	12	J54361	3/9/2019	15.10				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	13	J54362	3/10/2019	15.10				
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	14	J54363	3/10/2019	15.40				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	15	J54364	3/10/2019	14.90				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	16	J54365	3/10/2019	15.00				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	17	J54367	3/10/2019	15.10				
1	15TSY32MR	Espessura	14.80	14.80	14.80	0.00	18	J54368	3/10/2019	14.80				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	19	J54369	3/10/2019	15.10				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	1	J54349	3/6/2019	13.70				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	2	J54350	3/6/2019	13.60				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	3	J54351	3/7/2019	13.70				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	4	J54352	3/7/2019	13.60				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	5	J54353	3/7/2019	13.80				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	6	J54355	3/9/2019	13.70				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	7	J54356	3/9/2019	13.80				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	8	J54357	3/9/2019	13.50				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	9	J54358	3/9/2019	13.90				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	10	J54359	3/9/2019	13.90				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	11	J54360	3/9/2019	13.60				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	12	J54361	3/9/2019	13.70				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	13	J54362	3/10/2019	13.70				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	14	J54363	3/10/2019	13.90				
1	15TSY32MR	Gramatura	13.40	13.40	13.40	0.00	15	J54364	3/10/2019	13.40				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	16	J54365	3/10/2019	13.50				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	17	J54367	3/10/2019	13.70				
1	15TSY32MR	Gramatura	13.40	13.40	13.40	0.00	18	J54368	3/10/2019	13.40				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	19	J54369	3/10/2019	13.70				
1	15TSY32MR	Rendimento	73.00	73.00	73.00	0.00	1	J54349	3/6/2019	73.00				
1	15TSY32MR	Rendimento	73.00	73.00	73.00	0.00	2	J54355	3/9/2019	73.00				
1	15TSY32MR	Rendimento	73.00	73.00	73.00	0.00	3	J54367	3/10/2019	73.00				
1	15TSY32MR	Densidade	0.91	0.91	0.91	0.00	1	J54349	3/6/2019	0.91				
1	15TSY32MR	Densidade	0.90	0.90	0.90	0.00	2	J54355	3/9/2019	0.90				
1	15TSY32MR	Densidade	0.91	0.91	0.91	0.00	3	J54367	3/10/2019	0.91				
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.21	0.28	0.24	0.03	1	J54349	3/6/2019	0.24	0.22	0.21	0.24	0.28
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.20	0.25	0.22	0.02	2	J54351	3/7/2019	0.23	0.25	0.21	0.20	0.23
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.22	0.26	0.24	0.02	3	J54355	3/9/2019	0.22	0.24	0.23	0.23	0.26
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.20	0.25	0.23	0.02	4	J54356	3/9/2019	0.25	0.25	0.24	0.23	0.20
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.22	0.27	0.25	0.02	5	J54358	3/9/2019	0.27	0.24	0.24	0.22	0.26
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.25	0.27	0.26	0.01	6	J54360	3/9/2019	0.25	0.27	0.25	0.26	0.25
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.22	0.24	0.23	0.01	7	J54367	3/10/2019	0.24	0.22	0.22	0.23	0.24
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.28	0.33	0.30	0.02	1	J54349	3/6/2019	0.33	0.30	0.30	0.28	0.31
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.30	0.34	0.32	0.01	2	J54351	3/7/2019	0.33	0.30	0.34	0.32	0.32
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.26	0.35	0.31	0.03	3	J54355	3/9/2019	0.35	0.30	0.26	0.31	0.32
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.31	0.35	0.33	0.02	4	J54356	3/9/2019	0.35	0.35	0.33	0.31	0.33
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.37	0.39	0.38	0.01	5	J54358	3/9/2019	0.39	0.37	0.39	0.37	0.39
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.35	0.37	0.36	0.01	6	J54360	3/9/2019	0.37	0.35	0.36	0.35	0.35
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.28	0.30	0.29	0.01	7	J54367	3/10/2019	0.30	0.29	0.30	0.29	0.28
1	15TSY32MR	COF NT/NT - Est. Imediato	0.27	0.34	0.30	0.03	1	J54349	3/6/2019	0.33	0.27	0.28	0.29	0.34
1	15TSY32MR	COF NT/NT - Est. Imediato	0.24	0.31	0.28	0.03	2	J54351	3/7/2019	0.26	0.30	0.24	0.27	0.31
1	15TSY32MR	COF NT/NT - Est. Imediato	0.28	0.38	0.32	0.04	3	J54355	3/9/2019	0.28	0.38	0.28	0.35	0.33
1	15TSY32MR	COF NT/NT - Est. Imediato	0.30	0.38	0.34	0.04	4	J54356	3/9/2019	0.36	0.38	0.37	0.30	0.30
1	15TSY32MR	COF NT/NT - Est. Imediato	0.27	0.46	0.33	0.08	5	J54358	3/9/2019	0.46	0.29	0.30	0.27	0.34
1	15TSY32MR	COF NT/NT - Est. Imediato	0.31	0.34	0.32	0.01	6	J54360	3/9/2019	0.32	0.33	0.31	0.32	0.34
1	15TSY32MR	COF NT/NT - Est. Imediato	0.28	0.37	0.31	0.04	7	J54367	3/10/2019	0.30	0.28	0.30	0.28	0.37
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.35	0.42	0.37	0.03	1	J54349	3/6/2019	0.42	0.36	0.35	0.35	0.38
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.36	0.38	0.37	0.01	2	J54351	3/7/2019	0.38	0.36	0.36		
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.32	0.43	0.37	0.04	3	J54355	3/9/2019	0.43	0.36	0.32	0.35	0.38
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.35	0.47	0.40	0.05	4	J54356	3/9/2019	0.47	0.40	0.41	0.35	0.37
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.44	0.47	0.45	0.01	5	J54358	3/9/2019	0.46	0.44	0.46	0.47	0.44
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.42	0.49	0.45	0.03	6	J54360	3/9/2019	0.42	0.45	0.43	0.49	0.48
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.33	0.36	0.34	0.01	7	J54367	3/10/2019	0.36	0.33	0.34	0.34	0.33
1	15TSY32MR	COF NT/NT - Din.	0.26	0.28	0.27	0.01	1	J54349	3/6/2019	0.28	0.26	0.26		
1	15TSY32MR	COF NT/NT - Din.	0.20	0.21	0.20	0.01	2	J54355	3/9/2019	0.20	0.20	0.21		
1	15TSY32MR	COF COR/COR - Din.	0.23	0.25	0.24	0.01	1	J54349	3/6/2019	0.23	0.24	0.25		
1	15TSY32MR	COF COR/COR - Din.	0.23	0.28	0.26	0.03	2	J54355	3/9/2019	0.28	0.23	0.26		
1	15TSY32MR	COF  NT/NT - Est.	0.31	0.32	0.32	0.01	1	J54349	3/6/2019	0.32	0.32	0.31		
1	15TSY32MR	COF  NT/NT - Est.	0.24	0.26	0.25	0.01	2	J54355	3/9/2019	0.26	0.24	0.24		
1	15TSY32MR	COF COR/COR - Est.	0.25	0.27	0.26	0.01	1	J54349	3/6/2019	0.25	0.26	0.27		
1	15TSY32MR	COF COR/COR - Est.	0.29	0.33	0.30	0.02	2	J54355	3/9/2019	0.33	0.29	0.29		
1	15TSY32MR	Força de Tração DM	137.00	158.00	149.33	10.97	1	J54349	3/6/2019	153.00	158.00	137.00		
1	15TSY32MR	Força de Tração DM	144.00	157.00	149.00	7.00	2	J54355	3/9/2019	157.00	144.00	146.00		
1	15TSY32MR	Força de Tração DM	131.00	147.00	137.67	8.33	3	J54367	3/10/2019	131.00	135.00	147.00		
1	15TSY32MR	Força de Tração DT	224.00	250.00	233.67	14.22	1	J54349	3/6/2019	224.00	227.00	250.00		
1	15TSY32MR	Força de Tração DT	219.00	220.00	219.67	0.58	2	J54355	3/9/2019	219.00	220.00	220.00		
1	15TSY32MR	Força de Tração DT	243.00	273.00	253.67	16.77	3	J54367	3/10/2019	245.00	273.00	243.00		
1	15TSY32MR	Alongamento DM	158.00	195.00	181.67	20.55	1	J54349	3/6/2019	192.00	195.00	158.00		
1	15TSY32MR	Alongamento DM	168.00	186.00	175.67	9.29	2	J54355	3/9/2019	186.00	168.00	173.00		
1	15TSY32MR	Alongamento DM	137.00	154.00	145.33	8.50	3	J54367	3/10/2019	137.00	145.00	154.00		
1	15TSY32MR	Alongamento DT	29.00	41.00	33.00	6.93	1	J54349	3/6/2019	29.00	29.00	41.00		
1	15TSY32MR	Alongamento DT	27.00	35.00	30.67	4.04	2	J54355	3/9/2019	30.00	27.00	35.00		
1	15TSY32MR	Alongamento DT	48.00	59.00	52.33	5.86	3	J54367	3/10/2019	50.00	59.00	48.00		
1	15TSY32MR	Módulo Elástico DM	1287.00	1460.00	1364.67	87.84	1	J54349	3/6/2019	1460.00	1287.00	1347.00		
1	15TSY32MR	Módulo Elástico DM	1154.00	1472.00	1335.67	163.78	2	J54355	3/9/2019	1472.00	1381.00	1154.00		
1	15TSY32MR	Módulo Elástico DM	1121.00	1466.00	1272.67	176.23	3	J54367	3/10/2019	1466.00	1231.00	1121.00		
1	15TSY32MR	Módulo Elástico DT	2190.00	2575.00	2331.67	211.68	1	J54349	3/6/2019	2230.00	2575.00	2190.00		
1	15TSY32MR	Módulo Elástico DT	1447.00	2905.00	2058.00	757.11	2	J54355	3/9/2019	2905.00	1447.00	1822.00		
1	15TSY32MR	Módulo Elástico DT	2768.00	2966.00	2850.00	103.29	3	J54367	3/10/2019	2768.00	2966.00	2816.00		
1	15TSY32MR	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	J54349	3/6/2019	5.00	5.00	5.00		
1	15TSY32MR	Estabilidade Dimensional DM	4.00	5.00	4.67	0.58	2	J54355	3/9/2019	4.00	5.00	5.00		
1	15TSY32MR	Estabilidade Dimensional DM	4.00	4.00	4.00	0.00	3	J54367	3/10/2019	4.00	4.00	4.00	4.00	4.00
1	15TSY32MR	Estabilidade Dimensional DT	2.00	2.00	2.00	0.00	1	J54349	3/6/2019	2.00	2.00	2.00		
1	15TSY32MR	Estabilidade Dimensional DT	2.00	3.00	2.67	0.58	2	J54355	3/9/2019	2.00	3.00	3.00		
1	15TSY32MR	Estabilidade Dimensional DT	2.00	2.00	2.00	0.00	3	J54367	3/10/2019	2.00	2.00	2.00	2.00	2.00
1	15TSY32MR	Brilho 45°	102.00	105.00	103.33	1.53	1	J54349	3/6/2019	103.00	102.00	105.00		
1	15TSY32MR	Brilho 45°	105.00	105.00	105.00	0.00	2	J54355	3/9/2019	105.00	105.00	105.00		
1	15TSY32MR	Brilho 45°	102.00	103.00	102.67	0.58	3	J54367	3/10/2019	103.00	102.00	103.00		
1	15TSY32MR	Haze/difusão	1.10	1.30	1.20	0.10	1	J54349	3/6/2019	1.30	1.10	1.20		
1	15TSY32MR	Haze/difusão	1.10	1.50	1.27	0.21	2	J54355	3/9/2019	1.10	1.20	1.50		
1	15TSY32MR	Haze/difusão	1.30	1.30	1.30	0.00	3	J54367	3/10/2019	1.30	1.30	1.30		
1	15TSY32MR	Força de Selagem NT/NT	354.00	412.00	383.60	27.79	1	J54349	3/6/2019	390.00	354.00	412.00	407.00	355.00
1	15TSY32MR	Força de Selagem NT/NT	333.00	423.00	362.40	36.88	2	J54351	3/7/2019	369.00	335.00	333.00	423.00	352.00
1	15TSY32MR	Força de Selagem NT/NT	333.00	393.00	364.60	23.88	3	J54355	3/9/2019	393.00	373.00	348.00	333.00	376.00
1	15TSY32MR	Força de Selagem NT/NT	328.00	447.00	386.20	49.53	4	J54356	3/9/2019	402.00	447.00	328.00	411.00	343.00
1	15TSY32MR	Força de Selagem NT/NT	304.00	424.00	341.20	50.51	5	J54358	3/9/2019	309.00	424.00	314.00	304.00	355.00
1	15TSY32MR	Força de Selagem NT/NT	359.00	502.00	446.20	53.54	6	J54360	3/9/2019	502.00	464.00	466.00	359.00	440.00
1	15TSY32MR	Força de Selagem NT/NT	404.00	825.00	566.80	183.58	7	J54367	3/10/2019	825.00	428.00	404.00	692.00	485.00
1	15TSY32MR	Força de selagem COR/COR	366.00	643.00	488.80	101.12	1	J54349	3/6/2019	500.00	643.00	366.00	490.00	445.00
1	15TSY32MR	Força de selagem COR/COR	347.00	464.00	415.00	51.66	2	J54351	3/7/2019	464.00	442.00	347.00	449.00	373.00
1	15TSY32MR	Força de selagem COR/COR	367.00	657.00	494.20	118.79	3	J54355	3/9/2019	426.00	445.00	576.00	367.00	657.00
1	15TSY32MR	Força de selagem COR/COR	314.00	521.00	404.40	76.99	4	J54356	3/9/2019	428.00	314.00	371.00	388.00	521.00
1	15TSY32MR	Força de selagem COR/COR	315.00	374.00	354.20	25.99	5	J54358	3/9/2019	315.00	340.00	369.00	374.00	373.00
1	15TSY32MR	Força de selagem COR/COR	347.00	484.00	404.40	56.46	6	J54360	3/9/2019	354.00	484.00	428.00	347.00	409.00
1	15TSY32MR	Força de selagem COR/COR	446.00	524.00	479.60	29.51	7	J54367	3/10/2019	524.00	446.00	474.00	490.00	464.00
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	1	J54349	3/6/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	2	J54350	3/6/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	3	J54351	3/7/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	4	J54352	3/7/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	5	J54353	3/7/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	6	J54355	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	7	J54356	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	8	J54357	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	9	J54358	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	10	J54359	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	11	J54360	3/9/2019	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	12	J54361	3/9/2019	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	13	J54362	3/10/2019	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	14	J54363	3/10/2019	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	15	J54364	3/10/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	16	J54365	3/10/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	17	J54367	3/10/2019	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	18	J54368	3/10/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	19	J54369	3/10/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	1	J54349	3/6/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	2	J54350	3/6/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	3	J54351	3/7/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	4	J54352	3/7/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	5	J54353	3/7/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	6	J54355	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	7	J54356	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	8	J54357	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	9	J54358	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	10	J54359	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	11	J54360	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	12	J54361	3/9/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	13	J54362	3/10/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	14	J54363	3/10/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	15	J54364	3/10/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	16	J54365	3/10/2019	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	40.00	40.00	40.00	0.00	17	J54367	3/10/2019	40.00				
1	15TSY32MR	Tensão superficial CORONA LM	40.00	40.00	40.00	0.00	18	J54368	3/10/2019	40.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	19	J54369	3/10/2019	38.00				
1	15TSY32MR	Tensão superf. COR prod final	38.00	38.00	38.00	0.00	1	J54349	3/6/2019	38.00	38.00	38.00		
1	17TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	1	J54296	3/1/2019	40.00	40.00	40.00	40.00	38.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	2	J54297	3/1/2019	40.00	42.00	40.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	3	J54298	3/1/2019	40.00	42.00	40.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	4	J54299	3/1/2019	40.00	42.00	42.00	40.00	40.00
