LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.60	0.89	1	J55040	5/15/2019	44.00	44.00	42.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	2	J55041	5/15/2019	44.00	44.00	44.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	3	J55042	5/15/2019	44.00	44.00	44.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.60	0.89	4	J55043	5/16/2019	44.00	44.00	42.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	5	J55044	5/16/2019	44.00	44.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	6	J55045	5/16/2019	42.00	44.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	7	J55046	5/16/2019	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	8	J55047	5/16/2019	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	9	J55048	5/16/2019	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	10	J55049	5/16/2019	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	11	J55050	5/16/2019	44.00	44.00	44.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	12	J55051	5/16/2019	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	13	J55052	5/16/2019	44.00	44.00	44.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	14	J55054	5/17/2019	44.00	44.00	44.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	15	J55055	5/17/2019	44.00	44.00	44.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	16	J55056	5/17/2019	44.00	44.00	44.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	17	J55057	5/17/2019	44.00	44.00	44.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	18	J55058	5/17/2019	44.00	44.00	44.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	19	J55059	5/17/2019	44.00	44.00	44.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	20	J55060	5/17/2019	42.00	42.00	44.00	42.00	42.00
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	1	J55040	5/15/2019	15.10				
1	15TSY32MR	Espessura	14.80	14.80	14.80	0.00	2	J55041	5/15/2019	14.80				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	3	J55042	5/15/2019	15.20				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	4	J55043	5/16/2019	15.30				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	5	J55044	5/16/2019	15.00				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	6	J55045	5/16/2019	15.30				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	7	J55046	5/16/2019	15.30				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	8	J55047	5/16/2019	15.20				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	9	J55048	5/16/2019	15.10				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	10	J55049	5/16/2019	14.90				
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	11	J55050	5/16/2019	15.40				
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	12	J55051	5/16/2019	15.40				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	13	J55052	5/16/2019	15.00				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	14	J55054	5/17/2019	15.00				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	15	J55055	5/17/2019	15.20				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	16	J55056	5/17/2019	14.90				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	17	J55057	5/17/2019	14.90				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	18	J55058	5/17/2019	14.90				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	19	J55059	5/17/2019	15.10				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	20	J55060	5/17/2019	15.10				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	1	J55040	5/15/2019	13.60				
1	15TSY32MR	Gramatura	13.40	13.40	13.40	0.00	2	J55041	5/15/2019	13.40				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	3	J55042	5/15/2019	13.80				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	4	J55043	5/16/2019	13.90				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	5	J55044	5/16/2019	13.60				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	6	J55045	5/16/2019	13.90				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	7	J55046	5/16/2019	13.80				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	8	J55047	5/16/2019	13.80				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	9	J55048	5/16/2019	13.70				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	10	J55049	5/16/2019	13.50				
