LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	1	J55401	6/18/2019	42.00	40.00	42.00	40.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	2	J55402	6/18/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	3	J55403	6/18/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	4	J55404	6/18/2019	40.00	42.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	5	J55405	6/18/2019	40.00	42.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	6	J55406	6/18/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	1	J55401	6/18/2019	15.00				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	2	J55402	6/18/2019	15.00				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	3	J55403	6/18/2019	15.00				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	4	J55404	6/18/2019	15.00				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	5	J55405	6/18/2019	14.90				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	6	J55406	6/18/2019	15.00				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	1	J55401	6/18/2019	13.60				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	2	J55402	6/18/2019	13.50				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	3	J55403	6/18/2019	13.50				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	4	J55404	6/18/2019	13.60				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	5	J55405	6/18/2019	13.50				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	6	J55406	6/18/2019	13.60				
