LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	1	J56123	8/23/2019	40.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	2	J56124	8/23/2019	40.00	42.00	40.00	42.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	3	J56125	8/23/2019	40.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.20	1.10	4	J56126	8/23/2019	42.00	44.00	42.00	44.00	44.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	42.00	40.00	1.41	5	J56127	8/23/2019	40.00	42.00	40.00	38.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	6	J56128	8/23/2019	40.00	40.00	40.00	40.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	7	J56129	8/23/2019	40.00	42.00	40.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	8	J56130	8/23/2019	40.00	40.00	40.00	40.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	9	J56131	8/24/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	10	J56132	8/24/2019	40.00	42.00	42.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	11	J56134	8/24/2019	38.00	38.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	12	J56135	8/24/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	13	J56136	8/24/2019	40.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	14	J56137	8/24/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	15	J56138	8/24/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	16	J56139	8/24/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	17	J56140	8/24/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	18	J56141	8/25/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.50	1.00	19	J56142	8/25/2019	40.00	40.00	40.00	38.00	
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	20	J56143	8/25/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	21	J56144	8/25/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	22	J56145	8/25/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	23	J56146	8/25/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	24	J56147	8/25/2019	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Espessura	15.50	15.50	15.50	0.00	1	J56123	8/23/2019	15.50				
1	15TSY32MR	Espessura	15.50	15.50	15.50	0.00	2	J56124	8/23/2019	15.50				
1	15TSY32MR	Espessura	15.50	15.50	15.50	0.00	3	J56125	8/23/2019	15.50				
1	15TSY32MR	Espessura	15.80	15.80	15.80	0.00	4	J56126	8/23/2019	15.80				
1	15TSY32MR	Espessura	15.50	15.50	15.50	0.00	5	J56127	8/23/2019	15.50				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	6	J56128	8/23/2019	15.10				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	7	J56129	8/23/2019	14.90				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	8	J56130	8/23/2019	15.10				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	9	J56131	8/24/2019	15.00				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	10	J56132	8/24/2019	14.90				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	11	J56134	8/24/2019	15.20				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	12	J56135	8/24/2019	15.20				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	13	J56136	8/24/2019	15.20				
1	15TSY32MR	Espessura	15.50	15.50	15.50	0.00	14	J56137	8/24/2019	15.50				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	15	J56138	8/24/2019	15.10				
1	15TSY32MR	Espessura	14.70	14.70	14.70	0.00	16	J56139	8/24/2019	14.70				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	17	J56140	8/24/2019	15.10				
1	15TSY32MR	Espessura	14.90	14.90	14.90	0.00	18	J56141	8/25/2019	14.90				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	19	J56142	8/25/2019	15.00				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	20	J56143	8/25/2019	15.10				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	21	J56144	8/25/2019	15.30				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	22	J56145	8/25/2019	15.30				
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	23	J56146	8/25/2019	15.40				
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	24	J56147	8/25/2019	15.40				
1	15TSY32MR	Gramatura	14.00	14.00	14.00	0.00	1	J56123	8/23/2019	14.00				
1	15TSY32MR	Gramatura	14.00	14.00	14.00	0.00	2	J56124	8/23/2019	14.00				
1	15TSY32MR	Gramatura	14.00	14.00	14.00	0.00	3	J56125	8/23/2019	14.00				
1	15TSY32MR	Gramatura	14.30	14.30	14.30	0.00	4	J56126	8/23/2019	14.30				
1	15TSY32MR	Gramatura	14.00	14.00	14.00	0.00	5	J56127	8/23/2019	14.00				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	6	J56128	8/23/2019	13.70				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	7	J56129	8/23/2019	13.50				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	8	J56130	8/23/2019	13.70				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	9	J56131	8/24/2019	13.60				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	10	J56132	8/24/2019	13.50				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	11	J56134	8/24/2019	13.70				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	12	J56135	8/24/2019	13.80				
1	15TSY32MR	Gramatura	13.80	13.80	13.80	0.00	13	J56136	8/24/2019	13.80				
1	15TSY32MR	Gramatura	14.00	14.00	14.00	0.00	14	J56137	8/24/2019	14.00				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	15	J56138	8/24/2019	13.70				
1	15TSY32MR	Gramatura	13.30	13.30	13.30	0.00	16	J56139	8/24/2019	13.30				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	17	J56140	8/24/2019	13.70				
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	18	J56141	8/25/2019	13.50				
1	15TSY32MR	Gramatura	13.60	13.60	13.60	0.00	19	J56142	8/25/2019	13.60				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	20	J56143	8/25/2019	13.70				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	21	J56144	8/25/2019	13.90				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	22	J56145	8/25/2019	13.90				
1	15TSY32MR	Gramatura	14.00	14.00	14.00	0.00	23	J56146	8/25/2019	14.00				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	24	J56147	8/25/2019	13.90				
1	15TSY32MR	Rendimento	71.40	71.40	71.40	0.00	1	J56123	8/23/2019	71.40				
1	15TSY32MR	Densidade	0.90	0.90	0.90	0.00	1	J56123	8/23/2019	0.90				
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.28	0.32	0.29	0.02	1	J56123	8/23/2019	0.32	0.29	0.29	0.28	0.29
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.26	0.30	0.28	0.01	2	J56126	8/23/2019	0.30	0.28	0.29	0.28	0.26
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.22	0.27	0.24	0.02	3	J56131	8/24/2019	0.22	0.22	0.25	0.27	0.25
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.20	0.30	0.24	0.04	4	J56135	8/24/2019	0.30	0.27	0.20	0.21	0.21
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.18	0.28	0.21	0.04	5	J56137	8/24/2019	0.28	0.18	0.18	0.20	0.22
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.27	0.34	0.30	0.03	6	J56139	8/24/2019	0.34	0.28	0.32	0.30	0.27
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.22	0.25	0.23	0.01	7	J56141	8/25/2019	0.25	0.22	0.23	0.23	0.23
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.22	0.40	0.31	0.07	8	J56143	8/25/2019	0.40	0.22	0.31	0.28	0.32
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.19	0.43	0.29	0.09	1	J56123	8/23/2019	0.43	0.19	0.33	0.25	0.27
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.32	0.41	0.35	0.04	2	J56126	8/23/2019	0.37	0.35	0.32	0.32	0.41
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.32	0.36	0.34	0.02	3	J56131	8/24/2019	0.36	0.32	0.35	0.32	0.34
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.17	0.43	0.28	0.10	4	J56135	8/24/2019	0.31	0.21	0.17	0.43	0.30
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.35	0.38	0.37	0.01	5	J56137	8/24/2019	0.38	0.35	0.38	0.38	0.38
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.31	0.48	0.43	0.07	6	J56139	8/24/2019	0.47	0.42	0.48	0.31	0.46
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.32	0.45	0.40	0.05	7	J56141	8/25/2019	0.40	0.38	0.45	0.32	0.44
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.32	0.39	0.36	0.03	8	J56143	8/25/2019	0.37	0.39	0.37	0.33	0.32
1	15TSY32MR	COF NT/NT - Est. Imediato	0.35	0.43	0.37	0.03	1	J56123	8/23/2019	0.43	0.36	0.35	0.37	0.36
1	15TSY32MR	COF NT/NT - Est. Imediato	0.30	0.47	0.42	0.07	2	J56126	8/23/2019	0.44	0.45	0.47	0.43	0.30
1	15TSY32MR	COF NT/NT - Est. Imediato	0.33	0.41	0.37	0.03	3	J56131	8/24/2019	0.39	0.41	0.36	0.33	0.37
1	15TSY32MR	COF NT/NT - Est. Imediato	0.25	0.44	0.36	0.09	4	J56135	8/24/2019	0.44	0.44	0.25	0.27	0.39
1	15TSY32MR	COF NT/NT - Est. Imediato	0.27	0.42	0.34	0.06	5	J56137	8/24/2019	0.42	0.31	0.27	0.33	0.36
1	15TSY32MR	COF NT/NT - Est. Imediato	0.36	0.55	0.44	0.08	6	J56139	8/24/2019	0.55	0.36	0.44	0.37	0.49
1	15TSY32MR	COF NT/NT - Est. Imediato	0.28	0.48	0.38	0.09	7	J56141	8/25/2019	0.45	0.28	0.37	0.48	0.30
1	15TSY32MR	COF NT/NT - Est. Imediato	0.33	0.50	0.43	0.07	8	J56143	8/25/2019	0.50	0.33	0.41	0.41	0.48
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.34	0.41	0.38	0.03	1	J56123	8/23/2019	0.37	0.34	0.39	0.41	0.39
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.39	0.52	0.45	0.06	2	J56126	8/23/2019	0.51	0.43	0.39	0.41	0.52
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.40	0.54	0.48	0.05	3	J56131	8/24/2019	0.54	0.46	0.50	0.40	0.49
