LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	1	J54628	4/6/2019	42.00	42.00	40.00	40.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	2	J54629	4/6/2019	40.00	40.00	40.00	38.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	3	J54630	4/6/2019	38.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	4	J54631	4/6/2019	38.00	38.00	38.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	5	J54632	4/6/2019	38.00	40.00	40.00	38.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	6	J54633	4/7/2019	38.00	40.00	38.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	7	J54634	4/7/2019	38.00	38.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	8	J54635	4/7/2019	40.00	40.00	38.00	38.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	38.00	38.00	0.00	9	J54636	4/7/2019	38.00	38.00	38.00	38.00	38.00
1	15TSY32MR	Espessura	15.50	15.50	15.50	0.00	1	J54628	4/6/2019	15.50				
1	15TSY32MR	Espessura	15.70	15.70	15.70	0.00	2	J54629	4/6/2019	15.70				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	3	J54630	4/6/2019	15.30				
1	15TSY32MR	Espessura	14.70	14.70	14.70	0.00	4	J54631	4/6/2019	14.70				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	5	J54632	4/6/2019	15.30				
1	15TSY32MR	Espessura	15.70	15.70	15.70	0.00	6	J54633	4/7/2019	15.70				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	7	J54634	4/7/2019	15.00				
1	15TSY32MR	Espessura	15.10	15.10	15.10	0.00	8	J54635	4/7/2019	15.10				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	9	J54636	4/7/2019	15.20				
1	15TSY32MR	Gramatura	14.00	14.00	14.00	0.00	1	J54628	4/6/2019	14.00				
1	15TSY32MR	Gramatura	14.20	14.20	14.20	0.00	2	J54629	4/6/2019	14.20				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	3	J54630	4/6/2019	13.90				
