LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.80	1.10	1	J53347	11/25/2018	38.00	38.00	38.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	2	J53348	11/25/2018	38.00	40.00	40.00	40.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	3	J53349	11/25/2018	40.00	40.00	40.00	40.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	40.00	38.40	0.89	4	J53350	11/25/2018	38.00	38.00	38.00	40.00	38.00
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	1	J53347	11/25/2018	15.20				
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	2	J53348	11/25/2018	15.40				
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	3	J53349	11/25/2018	15.40				
1	15TSY32MR	Espessura	15.50	15.50	15.50	0.00	4	J53350	11/25/2018	15.50				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	1	J53347	11/25/2018	13.70				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	2	J53348	11/25/2018	13.90				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	3	J53349	11/25/2018	13.90				
1	15TSY32MR	Gramatura	14.00	14.00	14.00	0.00	4	J53350	11/25/2018	14.00				
1	15TSY32MR	Rendimento	73.00	73.00	73.00	0.00	1	J53347	11/25/2018	73.00				
1	15TSY32MR	Densidade	0.90	0.90	0.90	0.00	1	J53347	11/25/2018	0.90				
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.21	0.25	0.23	0.02	1	J53347	11/25/2018	0.25	0.21	0.24		
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.24	0.40	0.30	0.09	1	J53347	11/25/2018	0.40	0.24	0.26		
1	15TSY32MR	COF NT/NT - Est. Imediato	0.29	0.42	0.35	0.07	1	J53347	11/25/2018	0.42	0.29	0.33		
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.28	0.45	0.35	0.09	1	J53347	11/25/2018	0.45	0.28	0.32		
1	15TSY32MR	COF NT/NT - Din.	0.20	0.20	0.20	0.00	1	J53347	11/25/2018	0.20	0.20	0.20		
1	15TSY32MR	COF COR/COR - Din.	0.20	0.20	0.20	0.00	1	J53347	11/25/2018	0.20				
1	15TSY32MR	COF  NT/NT - Est.	0.23	0.26	0.25	0.02	1	J53347	11/25/2018	0.26	0.26	0.23		
1	15TSY32MR	COF COR/COR - Est.	0.20	0.21	0.20	0.01	1	J53347	11/25/2018	0.20	0.21	0.20		
1	15TSY32MR	Força de Tração DM	143.00	161.00	152.67	9.07	1	J53347	11/25/2018	154.00	143.00	161.00		
1	15TSY32MR	Força de Tração DT	241.00	272.00	256.67	15.50	1	J53347	11/25/2018	257.00	272.00	241.00		
1	15TSY32MR	Alongamento DM	162.00	196.00	184.00	19.08	1	J53347	11/25/2018	162.00	196.00	194.00		
1	15TSY32MR	Alongamento DT	37.00	56.00	47.00	9.54	1	J53347	11/25/2018	48.00	56.00	37.00		
1	15TSY32MR	Módulo Elástico DM	1442.00	1586.00	1518.00	72.33	1	J53347	11/25/2018	1442.00	1586.00	1526.00		
1	15TSY32MR	Módulo Elástico DT	2264.00	2690.00	2487.33	213.75	1	J53347	11/25/2018	2264.00	2508.00	2690.00		
1	15TSY32MR	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	J53347	11/25/2018	5.00	5.00	5.00		
1	15TSY32MR	Estabilidade Dimensional DT	3.00	3.00	3.00	0.00	1	J53347	11/25/2018	3.00	3.00	3.00		
1	15TSY32MR	Brilho 45°	103.00	103.00	103.00	0.00	1	J53347	11/25/2018	103.00	103.00	103.00		
1	15TSY32MR	Haze/difusão	1.30	1.30	1.30	0.00	1	J53347	11/25/2018	1.30	1.30	1.30		
1	15TSY32MR	Força de Selagem NT/NT	317.00	416.00	352.33	55.25	1	J53347	11/25/2018	317.00	416.00	324.00		
1	15TSY32MR	Força de selagem COR/COR	405.00	421.00	412.33	8.08	1	J53347	11/25/2018	421.00	411.00	405.00		
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	1	J53347	11/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	2	J53348	11/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	3	J53349	11/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	4	J53350	11/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	1	J53347	11/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	2	J53348	11/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	3	J53349	11/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	4	J53350	11/25/2018	38.00				
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	1	J53277	11/19/2018	40.00	40.00	40.00	40.00	40.00
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	2	J53278	11/19/2018	40.00	42.00	40.00	42.00	40.00
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	3	J53279	11/19/2018	40.00	42.00	42.00	42.00	42.00
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	4	J53280	11/19/2018	42.00	42.00	42.00	40.00	40.00
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	5	J53281	11/19/2018	40.00	40.00	40.00	42.00	40.00
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	6	J53282	11/19/2018	40.00	40.00	40.00	42.00	42.00
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	7	J53283	11/19/2018	42.00	42.00	40.00	42.00	42.00
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	8	J53285	11/19/2018	42.00	42.00	40.00	40.00	40.00
1	17EP 440/32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	9	J53286	11/19/2018	42.00	42.00	40.00	42.00	42.00
1	17EP 440/32MR	Espessura	17.20	17.20	17.20	0.00	1	J53277	11/19/2018	17.20				
1	17EP 440/32MR	Espessura	17.20	17.20	17.20	0.00	2	J53278	11/19/2018	17.20				
1	17EP 440/32MR	Espessura	17.30	17.30	17.30	0.00	3	J53279	11/19/2018	17.30				
1	17EP 440/32MR	Espessura	17.10	17.10	17.10	0.00	4	J53280	11/19/2018	17.10				
1	17EP 440/32MR	Espessura	17.20	17.20	17.20	0.00	5	J53281	11/19/2018	17.20				
1	17EP 440/32MR	Espessura	17.10	17.10	17.10	0.00	6	J53282	11/19/2018	17.10				
1	17EP 440/32MR	Espessura	17.20	17.20	17.20	0.00	7	J53283	11/19/2018	17.20				
1	17EP 440/32MR	Espessura	16.80	16.80	16.80	0.00	8	J53285	11/19/2018	16.80				
1	17EP 440/32MR	Espessura	16.90	16.90	16.90	0.00	9	J53286	11/19/2018	16.90				
1	17EP 440/32MR	Gramatura	15.60	15.60	15.60	0.00	1	J53277	11/19/2018	15.60				
1	17EP 440/32MR	Gramatura	15.60	15.60	15.60	0.00	2	J53278	11/19/2018	15.60				
1	17EP 440/32MR	Gramatura	15.60	15.60	15.60	0.00	3	J53279	11/19/2018	15.60				
1	17EP 440/32MR	Gramatura	15.50	15.50	15.50	0.00	4	J53280	11/19/2018	15.50				
1	17EP 440/32MR	Gramatura	15.50	15.50	15.50	0.00	5	J53281	11/19/2018	15.50				
1	17EP 440/32MR	Gramatura	15.20	15.20	15.20	0.00	6	J53285	11/19/2018	15.20				
1	17EP 440/32MR	Gramatura	15.30	15.30	15.30	0.00	7	J53286	11/19/2018	15.30				
1	17EP 440/32MR	Densidade	0.91	0.91	0.91	0.00	1	J53277	11/19/2018	0.91				
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.20	0.23	0.22	0.01	1	J53277	11/19/2018	0.21	0.23	0.23	0.20	0.21
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.21	0.27	0.24	0.03	2	J53278	11/19/2018	0.27	0.21	0.24		
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.21	0.24	0.23	0.02	3	J53279	11/19/2018	0.24	0.23	0.21		
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.20	0.24	0.22	0.02	4	J53280	11/19/2018	0.24	0.22	0.20		
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.19	0.24	0.22	0.03	5	J53281	11/19/2018	0.24	0.22	0.19		
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.20	0.24	0.23	0.02	6	J53282	11/19/2018	0.24	0.20	0.24		
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.19	0.22	0.21	0.02	7	J53283	11/19/2018	0.22	0.19	0.22		
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.20	0.25	0.22	0.03	8	J53285	11/19/2018	0.21	0.20	0.25		
1	17EP 440/32MR	COF NT/NT - DIN. Imediato	0.21	0.24	0.22	0.02	9	J53286	11/19/2018	0.24	0.21	0.22		
1	17EP 440/32MR	COF COR/COR - Din. - Imediato	0.36	0.48	0.41	0.06	1	J53277	11/19/2018	0.48	0.47	0.38	0.36	0.38
1	17EP 440/32MR	COF COR/COR - Din. - Imediato	0.38	0.52	0.45	0.07	2	J53283	11/19/2018	0.52	0.38	0.45		
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.26	0.28	0.27	0.01	1	J53277	11/19/2018	0.26	0.28	0.28	0.27	0.26
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.25	0.52	0.36	0.14	2	J53278	11/19/2018	0.52	0.25	0.31		
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.29	0.31	0.30	0.01	3	J53279	11/19/2018	0.30	0.31	0.29		
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.25	0.29	0.27	0.02	4	J53280	11/19/2018	0.29	0.26	0.25		
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.24	0.29	0.26	0.03	5	J53281	11/19/2018	0.29	0.26	0.24		
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.25	0.31	0.28	0.03	6	J53282	11/19/2018	0.31	0.25	0.28		
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.25	0.29	0.26	0.02	7	J53283	11/19/2018	0.29	0.25	0.25		
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.26	0.33	0.29	0.04	8	J53285	11/19/2018	0.33	0.26	0.28		
1	17EP 440/32MR	COF NT/NT - Est. Imediato	0.25	0.33	0.29	0.04	9	J53286	11/19/2018	0.33	0.25	0.29		
1	17EP 440/32MR	COF COR/COR - Est. - Imediato	0.41	0.57	0.49	0.06	1	J53277	11/19/2018	0.57	0.54	0.46	0.41	0.47
1	17EP 440/32MR	COF COR/COR - Est. - Imediato	0.47	0.58	0.52	0.06	2	J53283	11/19/2018	0.58	0.47	0.51		
1	17EP 440/32MR	COF NT/NT - Din.	0.22	0.28	0.26	0.03	1	J53277	11/19/2018	0.27	0.22	0.24	0.28	0.28
1	17EP 440/32MR	COF NT/NT - Din.	0.20	0.30	0.25	0.04	2	J53278	11/19/2018	0.28	0.26	0.30	0.21	0.21
1	17EP 440/32MR	COF NT/NT - Din.	0.25	0.27	0.26	0.01	3	J53279	11/19/2018	0.27	0.27	0.25		
1	17EP 440/32MR	COF NT/NT - Din.	0.22	0.30	0.25	0.03	4	J53280	11/19/2018	0.30	0.23	0.24	0.24	0.22
1	17EP 440/32MR	COF NT/NT - Din.	0.24	0.28	0.25	0.02	5	J53281	11/19/2018	0.28	0.25	0.25	0.25	0.24
1	17EP 440/32MR	COF NT/NT - Din.	0.22	0.29	0.24	0.02	6	J53282	11/19/2018	0.25	0.24	0.28	0.22	0.23
1	17EP 440/32MR	COF NT/NT - Din.	0.21	0.23	0.22	0.01	7	J53283	11/19/2018	0.21	0.22	0.23	0.23	0.21
1	17EP 440/32MR	COF NT/NT - Din.	0.20	0.25	0.23	0.02	8	J53286	11/19/2018	0.25	0.23	0.21	0.25	0.23
1	17EP 440/32MR	COF COR/COR - Din.	0.26	0.33	0.30	0.04	1	J53277	11/19/2018	0.26	0.32	0.33		
1	17EP 440/32MR	COF COR/COR - Din.	0.29	0.30	0.29	0.01	2	J53283	11/19/2018	0.30	0.29	0.29		
1	17EP 440/32MR	COF  NT/NT - Est.	0.26	0.38	0.32	0.05	1	J53277	11/19/2018	0.38	0.26	0.28	0.35	0.32
1	17EP 440/32MR	COF  NT/NT - Est.	0.25	0.53	0.39	0.12	2	J53278	11/19/2018	0.43	0.46	0.53	0.28	0.26
1	17EP 440/32MR	COF  NT/NT - Est.	0.31	0.36	0.34	0.03	3	J53279	11/19/2018	0.35	0.36	0.31		
1	17EP 440/32MR	COF  NT/NT - Est.	0.26	0.57	0.35	0.13	4	J53280	11/19/2018	0.57	0.27	0.29	0.35	0.26
1	17EP 440/32MR	COF  NT/NT - Est.	0.30	0.39	0.33	0.04	5	J53281	11/19/2018	0.30	0.31	0.36	0.39	0.30
1	17EP 440/32MR	COF  NT/NT - Est.	0.26	0.59	0.37	0.13	6	J53282	11/19/2018	0.59	0.33	0.38	0.27	0.26
1	17EP 440/32MR	COF  NT/NT - Est.	0.24	0.45	0.32	0.08	7	J53283	11/19/2018	0.45	0.30	0.26	0.30	0.27
1	17EP 440/32MR	COF  NT/NT - Est.	0.25	0.44	0.36	0.06	8	J53286	11/19/2018	0.33	0.38	0.28	0.44	0.35
1	17EP 440/32MR	COF COR/COR - Est.	0.33	0.39	0.36	0.03	1	J53277	11/19/2018	0.33	0.35	0.39		
1	17EP 440/32MR	COF COR/COR - Est.	0.36	0.37	0.37	0.01	2	J53283	11/19/2018	0.37	0.37	0.36		
1	17EP 440/32MR	Força de Tração DM	138.00	150.00	142.67	6.43	1	J53277	11/19/2018	140.00	150.00	138.00		
1	17EP 440/32MR	Força de Tração DT	251.00	280.00	265.00	14.53	1	J53277	11/19/2018	251.00	264.00	280.00		
1	17EP 440/32MR	Alongamento DM	170.00	205.00	185.67	17.79	1	J53277	11/19/2018	170.00	205.00	182.00		
1	17EP 440/32MR	Alongamento DT	44.00	58.00	49.00	7.81	1	J53277	11/19/2018	44.00	45.00	58.00		
1	17EP 440/32MR	Módulo Elástico DM	1046.00	1409.00	1241.67	183.15	1	J53277	11/19/2018	1046.00	1270.00	1409.00		
1	17EP 440/32MR	Módulo Elástico DT	2097.00	2696.00	2473.33	327.74	1	J53277	11/19/2018	2696.00	2627.00	2097.00		
1	17EP 440/32MR	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	J53277	11/19/2018	5.00	5.00	5.00		
