LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	1	J52768	9/24/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	2	J52769	9/24/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	3	J52770	9/24/2018	42.00	44.00	44.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	4	J52771	9/25/2018	40.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	42.00	39.60	1.67	5	J52772	9/25/2018	38.00	40.00	40.00	42.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	42.00	40.00	2.00	6	J52773	9/25/2018	38.00	40.00	42.00	42.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	7	J52774	9/25/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	1	J52768	9/24/2018	15.40				
1	15TSY32MR	Espessura	15.40	15.40	15.40	0.00	2	J52769	9/24/2018	15.40				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	3	J52770	9/24/2018	15.20				
1	15TSY32MR	Espessura	15.30	15.30	15.30	0.00	4	J52771	9/25/2018	15.30				
1	15TSY32MR	Espessura	15.20	15.20	15.20	0.00	5	J52772	9/25/2018	15.20				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	6	J52773	9/25/2018	15.00				
1	15TSY32MR	Espessura	15.00	15.00	15.00	0.00	7	J52774	9/25/2018	15.00				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	1	J52768	9/24/2018	13.90				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	2	J52769	9/24/2018	13.90				
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	3	J52770	9/24/2018	13.70				
1	15TSY32MR	Gramatura	13.90	13.90	13.90	0.00	4	J52771	9/25/2018	13.90				
