LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15EP 207/32MR	Tratamento Superficial CORONA	44.00	44.00	44.00	0.00	1	J52123	7/23/2018	44.00	44.00	44.00	44.00	44.00
1	15EP 207/32MR	Espessura	14.80	15.50	15.28	0.19	1	J52123	7/23/2018	15.40	15.20	15.30	15.50	15.00
1	15EP 207/32MR	Gramatura	13.50	13.50	13.50	0.00	1	J52123	7/23/2018	13.50				
1	15EP 207/32MR	Rendimento	74.10	74.10	74.10	0.00	1	J52123	7/23/2018	74.10				
1	15EP 207/32MR	Densidade	0.89	0.89	0.89	0.00	1	J52123	7/23/2018	0.89				
1	15EP 207/32MR	COF NT/NT - DIN. Imediato	0.24	0.27	0.26	0.01	1	J52123	7/23/2018	0.26	0.24	0.26	0.27	0.26
1	15EP 207/32MR	COF COR/COR - Din. - Imediato	0.45	0.53	0.50	0.03	1	J52123	7/23/2018	0.50	0.52	0.48	0.53	0.45
1	15EP 207/32MR	COF NT/NT - Est. Imediato	0.32	0.32	0.32	0.00	1	J52123	7/23/2018	0.32				
1	15EP 207/32MR	COF COR/COR - Est. - Imediato	0.56	0.56	0.56	0.00	1	J52123	7/23/2018	0.56				
1	15EP 207/32MR	COF NT/NT - Din.	0.17	0.21	0.18	0.02	1	J52123	7/23/2018	0.19	0.18	0.17	0.17	0.21
1	15EP 207/32MR	COF COR/COR - Din.	0.28	0.33	0.31	0.02	1	J52123	7/23/2018	0.32	0.30	0.28	0.33	0.32
1	15EP 207/32MR	Força de Tração DM	141.00	155.00	149.00	7.21	1	J52123	7/23/2018	155.00	141.00	151.00		
1	15EP 207/32MR	Força de Tração DT	234.00	246.00	240.33	6.03	1	J52123	7/23/2018	241.00	246.00	234.00		
1	15EP 207/32MR	Alongamento DM	173.00	195.00	184.00	11.00	1	J52123	7/23/2018	195.00	173.00	184.00		
1	15EP 207/32MR	Alongamento DT	37.00	41.00	38.67	2.08	1	J52123	7/23/2018	38.00	41.00	37.00		
1	15EP 207/32MR	Módulo Elástico DM	1359.00	1510.00	1427.67	76.42	1	J52123	7/23/2018	1414.00	1510.00	1359.00		
1	15EP 207/32MR	Módulo Elástico DT	2196.00	2578.00	2435.67	208.77	1	J52123	7/23/2018	2578.00	2533.00	2196.00		
1	15EP 207/32MR	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	J52123	7/23/2018	5.00	5.00	5.00		
1	15EP 207/32MR	Estabilidade Dimensional DT	3.00	3.00	3.00	0.00	1	J52123	7/23/2018	3.00	3.00	3.00		
1	15EP 207/32MR	Brilho 45°	100.00	100.00	100.00	0.00	1	J52123	7/23/2018	100.00	100.00	100.00		
1	15EP 207/32MR	Haze/difusão	1.60	1.60	1.60	0.00	1	J52123	7/23/2018	1.60	1.60	1.60		
1	15EP 207/32MR	Força de Selagem NT/NT	455.00	626.00	553.67	88.49	1	J52123	7/23/2018	455.00	580.00	626.00		
1	15EP 207/32MR	Força de selagem COR/COR	378.00	550.00	461.00	86.16	1	J52123	7/23/2018	378.00	550.00	455.00		
1	15EP 207/32MR	COF NT/NT - din - 24h	0.17	0.21	0.18	0.02	1	J52123	7/23/2018	0.19	0.18	0.17	0.17	0.21
1	15EP 207/32MR	COF NT/NT - est. - 24h	0.21	0.34	0.25	0.05	1	J52123	7/23/2018	0.23	0.23	0.23	0.21	0.34
1	15EP 207/32MR	COF COR/COR - din. - 24h	0.28	0.33	0.31	0.02	1	J52123	7/23/2018	0.32	0.31	0.28	0.33	0.32
1	15EP 207/32MR	COF COR/COR - est. - 24h	0.39	0.48	0.44	0.03	1	J52123	7/23/2018	0.48	0.44	0.44	0.39	0.43
1	15EP 207/32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	1	J52123	7/23/2018	38.00				
1	15EP 207/32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	1	J52123	7/23/2018	38.00				
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	1	J52087	7/19/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	38.00	38.00	38.00	0.00	2	J52088	7/19/2018	38.00	38.00	38.00	38.00	38.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	3	J52089	7/20/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	4	J52090	7/20/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	5	J52091	7/20/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	6	J52092	7/20/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	7	J52094	7/20/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	8	J52095	7/20/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	9	J52096	7/20/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	10	J52097	7/21/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	11	J52098	7/21/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	12	J52099	7/21/2018	40.00	40.00	40.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	13	J52100	7/21/2018	40.00	42.00	42.00	42.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	14	J52101	7/21/2018	40.00	42.00	42.00	42.00	40.00
