LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	1	J51557	5/25/2018	42.00	42.00	42.00	42.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	2	J51558	5/25/2018	42.00	42.00	42.00	42.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	3	J51559	5/25/2018	44.00	44.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	4	J51560	5/25/2018	42.00	42.00	42.00	42.00	40.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.60	0.89	5	J51561	5/25/2018	44.00	44.00	44.00	44.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	6	J51562	5/25/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	7	J51563	5/25/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	8	J51564	5/25/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	9	J51565	5/25/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Espessura	14.70	15.60	15.26	0.09	1	J51557	5/25/2018	15.20	15.30	15.40	15.20	15.20
1	15TSY32MR	Espessura	14.80	15.50	15.38	0.13	2	J51558	5/25/2018	15.50	15.20	15.40	15.30	15.50
1	15TSY32MR	Espessura	15.00	15.80	15.20	0.23	3	J51559	5/25/2018	15.00	15.00	15.10	15.40	15.50
1	15TSY32MR	Espessura	14.70	15.70	15.22	0.13	4	J51560	5/25/2018	15.10	15.20	15.10	15.30	15.40
1	15TSY32MR	Espessura	14.80	16.00	15.88	0.13	5	J51561	5/25/2018	15.70	16.00	16.00	15.90	15.80
1	15TSY32MR	Espessura	14.80	15.70	15.58	0.08	6	J51562	5/25/2018	15.50	15.60	15.50	15.60	15.70
1	15TSY32MR	Espessura	14.90	15.40	15.22	0.08	7	J51563	5/25/2018	15.30	15.20	15.10	15.20	15.30
1	15TSY32MR	Espessura	14.80	15.60	15.30	0.12	8	J51564	5/25/2018	15.40	15.30	15.10	15.40	15.30
1	15TSY32MR	Espessura	15.10	15.70	15.32	0.18	9	J51565	5/25/2018	15.50	15.30	15.10	15.20	15.50
1	15TSY32MR	Gramatura	13.50	13.50	13.50	0.00	1	J51557	5/25/2018	13.50				
1	15TSY32MR	Rendimento	74.10	74.10	74.10	0.00	1	J51557	5/25/2018	74.10				
1	15TSY32MR	Densidade	0.89	0.89	0.89	0.00	1	J51557	5/25/2018	0.89				
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.26	0.28	0.27	0.01	1	J51557	5/25/2018	0.28	0.26	0.28		
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.24	0.28	0.26	0.02	2	J51561	5/25/2018	0.28	0.24	0.25		
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.38	0.44	0.42	0.03	1	J51557	5/25/2018	0.44	0.38	0.43		
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.37	0.42	0.40	0.03	2	J51561	5/25/2018	0.40	0.37	0.42		
1	15TSY32MR	COF NT/NT - Est. Imediato	0.34	0.45	0.39	0.06	1	J51557	5/25/2018	0.45	0.34	0.37		
1	15TSY32MR	COF NT/NT - Est. Imediato	0.33	0.39	0.35	0.03	2	J51561	5/25/2018	0.39	0.34	0.33		
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.67	1.40	1.12	0.40	1	J51557	5/25/2018	1.30	0.67	1.40		
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.45	0.52	0.48	0.04	2	J51561	5/25/2018	0.47	0.45	0.52		
1	15TSY32MR	COF NT/NT - Din.	0.24	0.26	0.25	0.01	1	J51557	5/25/2018	0.24	0.26	0.25		
1	15TSY32MR	COF COR/COR - Din.	0.26	0.26	0.26	0.00	1	J51557	5/25/2018	0.26	0.26	0.26		
1	15TSY32MR	COF  NT/NT - Est.	0.33	0.57	0.41	0.14	1	J51557	5/25/2018	0.33	0.57	0.33		
1	15TSY32MR	COF COR/COR - Est.	0.37	0.39	0.38	0.01	1	J51557	5/25/2018	0.37	0.39	0.38		
1	15TSY32MR	Força de Tração DM	129.00	144.00	136.00	7.55	1	J51557	5/25/2018	144.00	135.00	129.00		
1	15TSY32MR	Força de Tração DT	274.00	296.00	286.00	11.14	1	J51557	5/25/2018	274.00	288.00	296.00		
1	15TSY32MR	Alongamento DM	159.00	188.00	170.67	15.31	1	J51557	5/25/2018	165.00	159.00	188.00		
1	15TSY32MR	Alongamento DT	54.00	62.00	58.33	4.04	1	J51557	5/25/2018	54.00	59.00	62.00		
1	15TSY32MR	Módulo Elástico DM	1103.00	1575.00	1356.33	237.90	1	J51557	5/25/2018	1391.00	1103.00	1575.00		
1	15TSY32MR	Módulo Elástico DT	2494.00	2860.00	2666.00	183.99	1	J51557	5/25/2018	2644.00	2494.00	2860.00		
1	15TSY32MR	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	J51557	5/25/2018	5.00	5.00	5.00		
1	15TSY32MR	Estabilidade Dimensional DT	3.00	3.00	3.00	0.00	1	J51557	5/25/2018	3.00	3.00	3.00		
1	15TSY32MR	Brilho 45°	102.00	104.00	103.00	1.00	1	J51557	5/25/2018	103.00	102.00	104.00		
1	15TSY32MR	Haze/difusão	1.20	1.20	1.20	0.00	1	J51557	5/25/2018	1.20	1.20	1.20		
1	15TSY32MR	Força de Selagem NT/NT	312.00	397.00	341.67	47.96	1	J51557	5/25/2018	316.00	397.00	312.00		
1	15TSY32MR	Força de Selagem NT/NT	316.00	371.00	346.33	27.93	2	J51561	5/25/2018	316.00	352.00	371.00		
1	15TSY32MR	Força de selagem COR/COR	435.00	466.00	454.00	16.64	1	J51557	5/25/2018	466.00	461.00	435.00		
1	15TSY32MR	Força de selagem COR/COR	312.00	495.00	410.00	92.19	2	J51561	5/25/2018	312.00	423.00	495.00		
1	15TSY32MR	COF NT/NT - din - 24h	0.24	0.26	0.25	0.01	1	J51557	5/25/2018	0.24	0.26	0.25		
1	15TSY32MR	COF NT/NT - est. - 24h	0.33	0.57	0.41	0.14	1	J51557	5/25/2018	0.33	0.57	0.33		
1	15TSY32MR	COF COR/COR - din. - 24h	0.26	0.26	0.26	0.00	1	J51557	5/25/2018	0.26	0.26	0.26		
1	15TSY32MR	COF COR/COR - est. - 24h	0.37	0.39	0.38	0.01	1	J51557	5/25/2018	0.37	0.39	0.38		
1	15TSY32MR	Módulo Secante 2% DM	847.43	912.36	877.21	32.80	1	J51557	5/25/2018	847.43	912.36	871.83		
1	15TSY32MR	Módulo Secante 2% DT	1508.54	1529.36	1516.96	10.97	1	J51557	5/25/2018	1512.98	1529.36	1508.54		
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	1	J51557	5/25/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	2	J51558	5/25/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	44.00	44.00	44.00	0.00	3	J51559	5/25/2018	44.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	4	J51560	5/25/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	5	J51561	5/25/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	6	J51562	5/25/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	7	J51563	5/25/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	8	J51564	5/25/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	9	J51565	5/25/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	1	J51557	5/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	2	J51558	5/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	40.00	40.00	40.00	0.00	3	J51559	5/25/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LM	40.00	40.00	40.00	0.00	4	J51560	5/25/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	5	J51561	5/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	6	J51562	5/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	7	J51563	5/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	8	J51564	5/25/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	9	J51565	5/25/2018	38.00				
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	1	J51290	5/1/2018	42.00	44.00	44.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	2	J51291	5/1/2018	40.00	40.00	42.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	3	J51292	5/1/2018	40.00	42.00	42.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	4	J51330	5/4/2018	42.00	42.00	42.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	5	J51331	5/4/2018	42.00	42.00	44.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	44.00	41.60	1.67	6	J51332	5/5/2018	42.00	42.00	44.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	7	J51333	5/5/2018	40.00	42.00	40.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	8	J51335	5/5/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.20	1.10	9	J51336	5/5/2018	42.00	42.00	44.00	44.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	10	J51337	5/5/2018	42.00	42.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	11	J51338	5/5/2018	42.00	42.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.20	1.10	12	J51339	5/5/2018	44.00	44.00	42.00	42.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	13	J51340	5/5/2018	42.00	42.00	44.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	14	J51341	5/5/2018	40.00	40.00	40.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	15	J51342	5/5/2018	42.00	42.00	44.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	16	J51343	5/5/2018	42.00	42.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	17	J51344	5/6/2018	40.00	42.00	40.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	18	J51345	5/6/2018	40.00	42.00	42.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	19	J51346	5/6/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	20	J51347	5/6/2018	42.00	42.00	44.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	21	J51348	5/6/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.20	1.10	22	J51349	5/6/2018	42.00	42.00	44.00	44.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	23	J51350	5/6/2018	42.00	42.00	42.00	44.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	44.00	42.40	1.67	24	J51351	5/6/2018	42.00	42.00	40.00	44.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	25	J51352	5/6/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	26	J51369	5/8/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	44.00	42.00	1.41	27	J51370	5/8/2018	42.00	42.00	40.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	28	J51371	5/8/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	38.00	42.00	41.20	1.79	29	J51372	5/8/2018	42.00	42.00	38.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	30	J51373	5/8/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	31	J51374	5/8/2018	40.00	42.00	40.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	32	J51375	5/8/2018	42.00	42.00	40.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	33	J51376	5/8/2018	42.00	42.00	40.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	34	J51377	5/8/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	35	J51379	5/9/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	36	J51380	5/9/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	37	J51381	5/9/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	38	J51382	5/9/2018	42.00	42.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	39	J51383	5/9/2018	42.00	42.00	44.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	40	J51385	5/9/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.50	1.00	41	J51386	5/9/2018	42.00	42.00	44.00	42.00	
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	42	J51387	5/9/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	43	J51388	5/9/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	44	J51389	5/10/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	45	J51390	5/10/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	46	J51391	5/10/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	47	J51392	5/10/2018	42.00	42.00	42.00	44.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	48	J51393	5/10/2018	42.00	42.00	42.00	44.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	49	J51394	5/10/2018	42.00	44.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	50	J51433	5/13/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	51	J51434	5/14/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	52	J51435	5/14/2018	42.00	44.00	44.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	53	J51436	5/14/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	54	J51437	5/14/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	55	J51438	5/14/2018	42.00	42.00	42.00	44.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	56	J51439	5/14/2018	42.00	42.00	44.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	57	J51440	5/14/2018	42.00	44.00	44.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	58	J51441	5/14/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	59	J51442	5/14/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	60	J51443	5/15/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	61	J51444	5/15/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	62	J51445	5/15/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	63	J51446	5/15/2018	42.00	42.00	42.00	44.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	64	J51447	5/15/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	65	J51448	5/15/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	66	J51449	5/15/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	67	J51450	5/15/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.60	0.89	68	J51451	5/15/2018	44.00	44.00	44.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	69	J51452	5/15/2018	44.00	44.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	70	J51453	5/15/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	71	J51454	5/15/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	72	J51455	5/15/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	73	J51457	5/15/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.60	0.89	74	J51474	5/17/2018	42.00	44.00	44.00	44.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	75	J51476	5/17/2018	42.00	42.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	76	J51477	5/17/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	77	J51478	5/17/2018	40.00	42.00	40.00	40.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	78	J51479	5/17/2018	42.00	44.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	79	J51480	5/17/2018	42.00	42.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	80	J51481	5/17/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	44.00	42.00	1.41	81	J51482	5/17/2018	42.00	44.00	42.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	82	J51483	5/17/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	83	J51484	5/17/2018	42.00	42.00	44.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.20	1.10	84	J51485	5/18/2018	44.00	44.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	85	J51486	5/18/2018	42.00	44.00	44.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	86	J51487	5/18/2018	42.00	44.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	87	J51488	5/18/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	88	J51489	5/18/2018	42.00	42.00	42.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	89	J51490	5/18/2018	42.00	42.00	44.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	90	J51491	5/18/2018	42.00	42.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	91	J51492	5/18/2018	42.00	42.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	92	J51493	5/18/2018	44.00	42.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	93	J51494	5/18/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	94	J51495	5/19/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	95	J51496	5/19/2018	42.00	42.00	42.00	44.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.20	1.10	96	J51543	5/24/2018	42.00	44.00	44.00	42.00	44.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	97	J51544	5/24/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	98	J51545	5/24/2018	42.00	42.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	99	J51546	5/24/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	100	J51547	5/24/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	101	J51549	5/24/2018	42.00	44.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.20	1.10	102	J51551	5/24/2018	44.00	44.00	44.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	43.60	0.89	103	J51552	5/24/2018	44.00	44.00	44.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	104	J51553	5/24/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	105	J51554	5/25/2018	42.00	44.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	106	J51555	5/25/2018	42.00	42.00	44.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	107	J51556	5/25/2018	44.00	44.00	42.00	42.00	42.00
1	17TSY32MR	Espessura	16.30	17.60	17.12	0.24	1	J51290	5/1/2018	17.50	16.90	17.00	17.00	17.20
1	17TSY32MR	Espessura	16.30	17.50	16.94	0.23	2	J51291	5/1/2018	16.60	17.20	17.10	16.90	16.90
1	17TSY32MR	Espessura	16.80	17.80	17.38	0.16	3	J51292	5/1/2018	17.60	17.20	17.50	17.30	17.30
1	17TSY32MR	Espessura	17.00	18.10	17.52	0.20	4	J51330	5/4/2018	17.50	17.20	17.70	17.50	17.70
1	17TSY32MR	Espessura	16.70	17.90	16.98	0.18	5	J51331	5/4/2018	17.20	17.00	16.80	17.10	16.80
1	17TSY32MR	Espessura	17.20	18.10	17.58	0.16	6	J51332	5/5/2018	17.40	17.70	17.80	17.50	17.50
1	17TSY32MR	Espessura	16.10	17.90	17.62	0.16	7	J51333	5/5/2018	17.90	17.50	17.50	17.60	17.60
1	17TSY32MR	Espessura	16.10	17.80	17.10	0.14	8	J51335	5/5/2018	17.20	17.00	17.00	17.00	17.30
1	17TSY32MR	Espessura	16.70	18.00	17.28	0.08	9	J51336	5/5/2018	17.20	17.30	17.40	17.20	17.30
1	17TSY32MR	Espessura	16.40	17.90	16.68	0.19	10	J51337	5/5/2018	17.00	16.60	16.70	16.60	16.50
1	17TSY32MR	Espessura	16.50	17.60	17.40	0.20	11	J51338	5/5/2018	17.20	17.40	17.20	17.60	17.60
1	17TSY32MR	Espessura	16.60	17.90	17.04	0.11	12	J51339	5/5/2018	16.90	17.00	17.10	17.20	17.00
