LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	1	J50564	2/22/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	2	J50565	2/22/2018	40.00	42.00	42.00	40.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	3	J50566	2/22/2018	40.00	40.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	4	J50567	2/23/2018	40.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	5	J50568	2/23/2018	42.00	42.00	42.00	42.00	42.00
1	15TSY32MR	Espessura	14.70	15.40	15.16	0.11	1	J50564	2/22/2018	15.00	15.20	15.10	15.30	15.20
1	15TSY32MR	Espessura	15.10	15.70	15.60	0.14	2	J50565	2/22/2018	15.70	15.70	15.40	15.70	15.50
1	15TSY32MR	Espessura	14.80	15.90	15.36	0.09	3	J50566	2/22/2018	15.30	15.40	15.30	15.50	15.30
1	15TSY32MR	Espessura	14.90	15.80	15.40	0.34	4	J50567	2/23/2018	15.50	15.60	15.80	15.00	15.10
1	15TSY32MR	Espessura	14.90	15.50	15.18	0.16	5	J50568	2/23/2018	14.90	15.20	15.20	15.30	15.30
1	15TSY32MR	Gramatura	13.70	13.70	13.70	0.00	1	J50564	2/22/2018	13.70				
1	15TSY32MR	Rendimento	73.00	73.00	73.00	0.00	1	J50564	2/22/2018	73.00				
1	15TSY32MR	Densidade	0.91	0.91	0.91	0.00	1	J50564	2/22/2018	0.91				
1	15TSY32MR	COF NT/NT - DIN. Imediato	0.24	0.28	0.26	0.02	1	J50564	2/22/2018	0.27	0.24	0.28		
1	15TSY32MR	COF COR/COR - Din. - Imediato	0.32	0.37	0.34	0.03	1	J50564	2/22/2018	0.32	0.32	0.37		
1	15TSY32MR	COF NT/NT - Est. Imediato	0.27	0.48	0.36	0.11	1	J50564	2/22/2018	0.48	0.27	0.34		
1	15TSY32MR	COF COR/COR - Est. - Imediato	0.37	0.45	0.40	0.05	1	J50564	2/22/2018	0.37	0.37	0.45		
1	15TSY32MR	COF NT/NT - Din.	0.23	0.23	0.23	0.00	1	J50564	2/22/2018	0.23				
1	15TSY32MR	COF COR/COR - Din.	0.28	0.28	0.28	0.00	1	J50564	2/22/2018	0.28				
1	15TSY32MR	COF  NT/NT - Est.	0.33	0.33	0.33	0.00	1	J50564	2/22/2018	0.33				
1	15TSY32MR	COF COR/COR - Est.	0.42	0.42	0.42	0.00	1	J50564	2/22/2018	0.42				
1	15TSY32MR	Força de Tração DM	147.00	154.00	149.33	4.04	1	J50564	2/22/2018	154.00	147.00	147.00		
1	15TSY32MR	Força de Tração DT	255.00	281.00	271.00	14.00	1	J50564	2/22/2018	281.00	255.00	277.00		
1	15TSY32MR	Alongamento DM	174.00	197.00	184.33	11.68	1	J50564	2/22/2018	182.00	197.00	174.00		
1	15TSY32MR	Alongamento DT	43.00	57.00	51.00	7.21	1	J50564	2/22/2018	57.00	43.00	53.00		
1	15TSY32MR	Módulo Elástico DM	1304.00	1584.00	1465.67	144.94	1	J50564	2/22/2018	1584.00	1509.00	1304.00		
1	15TSY32MR	Módulo Elástico DT	2621.00	2911.00	2770.00	145.17	1	J50564	2/22/2018	2621.00	2778.00	2911.00		
1	15TSY32MR	Estabilidade Dimensional DM	5.00	5.00	5.00	0.00	1	J50564	2/22/2018	5.00	5.00	5.00		
1	15TSY32MR	Estabilidade Dimensional DT	1.00	1.00	1.00	0.00	1	J50564	2/22/2018	1.00	1.00	1.00		
1	15TSY32MR	Brilho 45°	89.00	90.00	89.67	0.58	1	J50564	2/22/2018	89.00	90.00	90.00		
1	15TSY32MR	Haze/difusão	1.10	1.40	1.23	0.15	1	J50564	2/22/2018	1.10	1.20	1.40		
1	15TSY32MR	Força de Selagem NT/NT	386.00	471.00	429.33	42.52	1	J50564	2/22/2018	471.00	431.00	386.00		
1	15TSY32MR	Força de selagem COR/COR	386.00	474.00	432.67	44.24	1	J50564	2/22/2018	438.00	386.00	474.00		
1	15TSY32MR	COF NT/NT - din - 24h	0.23	0.24	0.23	0.01	1	J50564	2/22/2018	0.23	0.24	0.23		
1	15TSY32MR	COF NT/NT - est. - 24h	0.30	0.37	0.33	0.04	1	J50564	2/22/2018	0.31	0.37	0.30		
1	15TSY32MR	COF COR/COR - din. - 24h	0.26	0.30	0.28	0.02	1	J50564	2/22/2018	0.26	0.27	0.30		
1	15TSY32MR	COF COR/COR - est. - 24h	0.39	0.47	0.42	0.04	1	J50564	2/22/2018	0.39	0.40	0.47		
1	15TSY32MR	Módulo Secante 2% DM	886.55	939.47	921.74	30.47	1	J50564	2/22/2018	939.47	886.55	939.19		
1	15TSY32MR	Módulo Secante 2% DT	1514.25	1625.48	1580.78	58.74	1	J50564	2/22/2018	1602.62	1625.48	1514.25		
1	15TSY32MR	Tensão superficial CORONA LO	40.00	40.00	40.00	0.00	1	J50564	2/22/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	2	J50565	2/22/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	3	J50566	2/22/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	4	J50567	2/23/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LO	38.00	38.00	38.00	0.00	5	J50568	2/23/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	40.00	40.00	40.00	0.00	1	J50564	2/22/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LM	40.00	40.00	40.00	0.00	2	J50565	2/22/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LM	40.00	40.00	40.00	0.00	3	J50566	2/22/2018	40.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	4	J50567	2/23/2018	38.00				
1	15TSY32MR	Tensão superficial CORONA LM	38.00	38.00	38.00	0.00	5	J50568	2/23/2018	38.00				
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	1	J50350	2/1/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	2	J50351	2/1/2018	42.00	40.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	3	J50352	2/1/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	4	J50353	2/1/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	5	J50354	2/1/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	6	J50355	2/1/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	7	J50356	2/2/2018	40.00	42.00	42.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	8	J50357	2/2/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	9	J50358	2/2/2018	42.00	42.00	40.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	10	J50359	2/2/2018	42.00	42.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	11	J50360	2/2/2018	42.00	42.00	42.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	12	J50361	2/2/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	13	J50363	2/2/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	14	J50377	2/3/2018	42.00	42.00	42.00	44.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	15	J50378	2/4/2018	40.00	42.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	16	J50379	2/4/2018	40.00	42.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	17	J50380	2/4/2018	40.00	42.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	18	J50381	2/4/2018	42.00	42.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.40	0.89	19	J50382	2/4/2018	40.00	40.00	40.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	20	J50383	2/4/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	21	J50384	2/4/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	22	J50385	2/4/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	23	J50386	2/4/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	24	J50387	2/4/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	25	J50411	2/7/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	26	J50412	2/7/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	27	J50413	2/7/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	28	J50414	2/8/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	29	J50415	2/8/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	30	J50416	2/8/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	31	J50417	2/8/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	32	J50418	2/8/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	33	J50419	2/8/2018	42.00	42.00	42.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	34	J50420	2/8/2018	40.00	40.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	35	J50421	2/8/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	36	J50422	2/8/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	37	J50423	2/9/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	40.80	1.10	38	J50424	2/9/2018	40.00	40.00	40.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	39	J50425	2/9/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	40	J50426	2/9/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	41	J50427	2/9/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	42	J50428	2/9/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	43	J50475	2/13/2018	42.00	42.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	44	J50476	2/13/2018	42.00	42.00	42.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	45	J50477	2/13/2018	42.00	42.00	42.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	46	J50478	2/13/2018	42.00	42.00	42.00	42.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	47	J50479	2/13/2018	40.00	40.00	40.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.80	1.10	48	J50480	2/13/2018	42.00	44.00	44.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	44.00	42.40	0.89	49	J50481	2/13/2018	42.00	44.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	50	J50482	2/13/2018	42.00	42.00	40.00	40.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.20	1.10	51	J50483	2/14/2018	40.00	40.00	42.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	40.00	42.00	41.60	0.89	52	J50484	2/14/2018	42.00	42.00	40.00	42.00	42.00
1	17TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.60	0.89	53	J50485	2/14/2018	40.00	40.00	38.00	40.00	40.00
1	17TSY32MR	Tratamento Superficial CORONA	38.00	40.00	39.20	1.10	54	J50486	2/14/2018	40.00	40.00	38.00	40.00	38.00
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	55	J50487	2/14/2018	42.00	42.00	42.00	42.00	42.00
