LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5					
1	17TSY32MR	Tratamento Superficial CORONA	42.00	42.00	42.00	0.00	1	J58420	4/2/2020	42.00	42.00	42.00	42.00	42.00					
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	2	J58421	4/2/2020	40.00	40.00	40.00	40.00	40.00					
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	3	J58422	4/2/2020	40.00	40.00	40.00	40.00	40.00					
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	4	J58423	4/2/2020	40.00	40.00	40.00	40.00	40.00					
1	17TSY32MR	Tratamento Superficial CORONA	40.00	40.00	40.00	0.00	5	J58424	4/2/2020	40.00	40.00	40.00	40.00	40.00					
1	17TSY32MR	Espessura	17.50	17.50	17.50	0.00	1	J58420	4/2/2020	17.50									
1	17TSY32MR	Espessura	16.70	17.10	16.90	0.19	2	J58421	4/2/2020	16.70	17.10	17.00	17.00	16.70					
1	17TSY32MR	Espessura	16.20	17.80	16.88	0.69	3	J58422	4/2/2020	17.80	17.40	16.20	16.60	16.40					
1	17TSY32MR	Espessura	16.20	16.80	16.54	0.22	4	J58423	4/2/2020	16.50	16.80	16.20	16.60	16.60					
1	17TSY32MR	Espessura	17.00	17.30	17.14	0.11	5	J58424	4/2/2020	17.10	17.00	17.30	17.10	17.20					
1	17TSY32MR	Gramatura	15.90	15.90	15.90	0.00	1	J58420	4/2/2020	15.90									
1	17TSY32MR	Rendimento	62.90	62.90	62.90	0.00	1	J58420	4/2/2020	62.90									
1	17TSY32MR	Densidade	0.91	0.91	0.91	0.00	1	J58420	4/2/2020	0.91									
1	17TSY32MR	COF NT/NT - DIN. Imediato	0.20	0.23	0.21	0.01	1	J58420	4/2/2020	0.22	0.21	0.20	0.21	0.23					
