LINHA	FILME	EXAME	MIN	MAX	MEDIA	DP	ITEM	MR	DATA	X1	X2	X3	X4	X5
1	20TFC30MR	Espessura	20,00	20,00	20,00	0,00	1	J58666	27/04/2020	20,00				
1	20TFC30MR	Espessura	19,50	19,90	19,72	0,16	2	J58668	27/04/2020	19,90	19,80	19,50	19,60	19,80
1	20TFC30MR	Espessura	19,90	19,90	19,90	0,00	3	J58669	27/04/2020	19,90				
1	20TFC30MR	Espessura	20,00	20,00	20,00	0,00	4	J58670	27/04/2020	20,00				
1	20TFC30MR	Gramatura	18,30	18,30	18,30	0,00	1	J58666	27/04/2020	18,30				
1	20TFC30MR	Gramatura	18,20	18,20	18,20	0,00	2	J58669	27/04/2020	18,20				
1	20TFC30MR	Gramatura	18,30	18,30	18,30	0,00	3	J58670	27/04/2020	18,30				
1	20TFC30MR	Rendimento	54,60	54,60	54,60	0,00	1	J58666	27/04/2020	54,60				
1	20TFC30MR	Densidade	0,92	0,92	0,92	0,00	1	J58666	27/04/2020	0,92				
1	20TFC30MR	Força de Tração DM	143,00	162,00	155,00	10,44	1	J58666	27/04/2020	162,00	143,00	160,00		
1	20TFC30MR	Força de Tração DT	237,00	246,00	243,00	5,20	1	J58666	27/04/2020	246,00	246,00	237,00		
1	20TFC30MR	Alongamento DM	158,00	207,00	188,00	26,29	1	J58666	27/04/2020	199,00	158,00	207,00		
1	20TFC30MR	Alongamento DT	35,00	58,00	45,33	11,68	1	J58666	27/04/2020	43,00	58,00	35,00		
1	20TFC30MR	Módulo Elástico DM	1766,00	1766,00	1766,00	0,00	1	J58666	27/04/2020	1766,00				
1	20TFC30MR	Módulo Elástico DT	2897,00	3264,00	3124,67	198,81	1	J58666	27/04/2020	2897,00	3213,00	3264,00		
1	20TFC30MR	Estabilidade Dimensional DM	6,00	6,00	6,00	0,00	1	J58666	27/04/2020	6,00				
1	20TFC30MR	Estabilidade Dimensional DT	4,00	4,00	4,00	0,00	1	J58666	27/04/2020	4,00				
1	20TFC30MR	Brilho 45°	102,00	102,00	102,00	0,00	1	J58666	27/04/2020	102,00				
1	20TFC30MR	Haze/difusão	1,56	1,77	1,65	0,11	1	J58666	27/04/2020	1,77	1,56	1,63		
1	20TFC30MR	COF INT/INT - din. Imediato	0,21	0,22	0,22	0,00	1	J58666	27/04/2020	0,22	0,22	0,21	0,22	0,22
1	20TFC30MR	COF INT/INT - din. Imediato	0,22	0,23	0,23	0,00	2	J58670	27/04/2020	0,23	0,23	0,23	0,23	0,22
1	20TFC30MR	COF INT/INT - est. Imediato	0,26	0,26	0,26	0,00	1	J58666	27/04/2020	0,26				
1	20TFC30MR	COF INT/INT - est. Imediato	0,32	0,35	0,33	0,01	2	J58670	27/04/2020	0,34	0,33	0,32	0,35	0,32
1	20TFC30MR	Força de Selagem INT/INT	243,00	463,00	372,00	93,07	1	J58666	27/04/2020	463,00	445,00	398,00	243,00	311,00
1	20TFC30MR	Força de Selagem INT/INT	350,00	683,00	479,60	141,94	2	J58670	27/04/2020	354,00	557,00	454,00	683,00	350,00
1	20TFC30MR	Força de Selagem EXT/EXT	319,00	576,00	384,20	107,98	1	J58666	27/04/2020	576,00	319,00	336,00	355,00	335,00
1	20TFC30MR	Força de Selagem EXT/EXT	300,00	445,00	383,20	52,50	2	J58670	27/04/2020	445,00	395,00	381,00	300,00	395,00
1	20TFC30MR	TIS INT/INT	104,50	104,50	104,50	0,00	1	J58666	27/04/2020	104,50				
1	20TFC30MR	TIS EXT/EXT	104,40	104,40	104,40	0,00	1	J58666	27/04/2020	104,40				
1	20TFC30MR	COF EXT/EXT din - imediato	0,20	0,23	0,22	0,01	1	J58666	27/04/2020	0,23	0,22	0,23	0,20	0,23
1	20TFC30MR	COF EXT/EXT din - imediato	0,22	0,24	0,23	0,01	2	J58670	27/04/2020	0,23	0,23	0,22	0,24	0,24
1	20TFC30MR	COF EXT/EXT est - imediato	0,34	0,34	0,34	0,00	1	J58666	27/04/2020	0,34				
1	20TFC30MR	COF EXT/EXT est - imediato	0,30	0,93	0,47	0,26	2	J58670	27/04/2020	0,32	0,36	0,30	0,93	0,43
1	20TMA12MR	Tratamento Superficial CHAMA	42,00	42,00	42,00	0,00	1	J58624	22/04/2020	42,00	42,00	42,00	42,00	42,00
1	20TMA12MR	Tratamento Superficial CHAMA	44,00	44,00	44,00	0,00	2	J58625	22/04/2020	44,00	44,00	44,00	44,00	44,00
1	20TMA12MR	Tratamento Superficial CHAMA	42,00	42,00			3	J58626	22/04/2020	42,00	42,00	42,00	42,00	42,00
1	20TMA12MR	Tratamento Superficial CHAMA	42,00	42,00			4	J58627	22/04/2020	42,00	42,00	42,00	42,00	42,00
1	20TMA12MR	Tratamento Superficial CHAMA	42,00	42,00			5	J58628	22/04/2020	42,00	42,00	42,00	42,00	42,00
1	20TMA12MR	Tratamento Superficial CHAMA	42,00	42,00			6	J58629	22/04/2020	42,00	42,00	42,00	42,00	42,00
1	20TMA12MR	Tratamento Superficial CHAMA	42,00	42,00			7	J58630	22/04/2020	42,00	42,00	42,00	42,00	42,00
1	20TMA12MR	Tratamento Superficial CHAMA	42,00	42,00			8	J58631	23/04/2020	42,00	42,00	42,00	42,00	42,00
1	20TMA12MR	Tratamento Superficial CHAMA	42,00	42,00			9	J58632	23/04/2020	42,00	42,00	42,00	42,00	42,00
1	20TMA12MR	Tratamento Superficial CHAMA	42,00	44,00			10	J58633	23/04/2020	42,00	44,00	44,00	42,00	44,00
1	20TMA12MR	Tratamento Superficial CHAMA	44,00	44,00			11	J58634	23/04/2020	44,00	44,00	44,00	44,00	44,00
